possession_id,outcome,offensive_supercluster,defensive_supercluster,matchup,z_off_0,z_off_1,z_off_2,z_def_0,z_def_1,z_def_2
22400963_272,0.35325901432958556,0,0,"(0, 0)",-1.54,0.8,-4.38,3.54,-0.6,1.56
22400845_640,-0.8216333929807401,0,0,"(0, 0)",-0.67,4.05,-1.48,1.41,0.21000000000000008,-0.48
22400526_270,0.5466410750909598,0,0,"(0, 0)",4.21,0.0,-2.21,1.41,0.030000000000000027,-0.49
22401029_513,-0.5379561694717514,0,0,"(0, 0)",0.0,1.08,-3.8,1.22,-1.79,-0.27
22401004_667,0.3125166803802919,0,0,"(0, 0)",-0.1,1.2800000000000002,-3.53,-0.28,-0.94,-2.8200000000000003
22401142_81,1.2115476424821212,0,0,"(0, 0)",6.79,-1.49,1.9,0.0,-0.53,-1.32
22400675_237,-0.0707875432473588,0,0,"(0, 0)",0.65,3.21,-0.76,0.0,0.26999999999999996,-1.5099999999999998
22400652_557,-0.23467580442916833,0,0,"(0, 0)",-1.54,-1.7699999999999998,-1.24,1.36,-0.95,-0.08999999999999997
22400877_560,-0.5306034182874871,0,0,"(0, 0)",-0.19,2.11,-3.9200000000000004,0.0,-1.02,-0.5599999999999999
22400652_180,-0.6637697775041638,0,0,"(0, 0)",-0.67,2.5300000000000002,-2.2,1.36,-0.95,-0.08999999999999997
22400822_630,-1.2104546867502126,0,0,"(0, 0)",3.2800000000000002,0.0,1.9,0.0,-0.53,-2.56
22401123_455,-0.9901260611603221,0,0,"(0, 0)",0.0,7.39,0.040000000000000036,0.0,0.45000000000000007,3.16
22400260_638,2.2601249930594927,0,0,"(0, 0)",-2.47,1.95,-0.13000000000000012,1.6600000000000001,-0.98,0.7399999999999999
22400021_548,-0.10615958486802354,0,0,"(0, 0)",0.0,8.46,-1.67,0.0,-0.9099999999999999,-1.22
22401159_560,1.3020683202829366,0,0,"(0, 0)",1.64,0.0,-1.0899999999999999,1.43,1.0,1.92
22400687_87,-0.35639331676269986,0,0,"(0, 0)",0.5900000000000001,1.48,1.44,1.41,0.56,1.02
