,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-23017.0,0.15749,3.55254,3.65757,-23023.2,-23016.7,-23011.8,511.278,1007.99,60.8302,1.00839
beta_0,2.6985,0.00236097,0.0827926,0.0805623,2.5573,2.69992,2.83338,1243.7,1467.07,147.971,1.00187
beta_off[1],0.241403,0.00507588,0.230129,0.182921,0.010836,0.169771,0.723776,1223.07,650.669,145.517,1.00009
beta_off[2],0.0259484,0.000476807,0.0226983,0.0191574,0.00148176,0.0201815,0.0699437,1408.0,841.072,167.52,1.00226
beta_off[3],0.0564756,0.000978874,0.0365608,0.0375413,0.00651692,0.05155,0.123537,902.103,542.548,107.329,1.0018
beta_off[4],3.82898,0.0621858,3.08722,2.91312,0.239551,3.09008,10.0876,1470.73,1014.47,174.983,0.999292
beta_off[5],0.0173953,0.000356687,0.0138886,0.0131521,0.00133771,0.014059,0.0449474,1215.58,734.185,144.626,1.00164
beta_off[6],0.0310666,0.000629451,0.0276863,0.0235056,0.00180988,0.0231828,0.0872184,847.481,408.404,100.831,1.00704
beta_off[7],0.0296255,0.000482984,0.0256168,0.0217911,0.00153117,0.0222603,0.0801974,1730.38,888.304,205.875,1.00351
beta_off[8],0.0444721,0.000691661,0.0309295,0.0308674,0.00473641,0.0385012,0.102998,1463.14,902.603,174.08,1.00257
beta_def[1],0.676934,0.0107353,0.572308,0.503776,0.0415196,0.526744,1.86699,1780.41,825.529,211.828,0.999629
beta_def[2],0.0998735,0.0015976,0.0755038,0.07228,0.00853356,0.0828845,0.244842,1326.64,537.931,157.84,1.00194
beta_def[3],0.0298671,0.000576562,0.025269,0.0229864,0.0020753,0.0228851,0.0811339,1488.62,1195.4,177.112,1.00471
beta_def[4],3.96104,0.0694438,2.89754,2.86194,0.291827,3.40873,9.45071,1105.23,716.676,131.497,1.00155
beta_def[5],0.0394079,0.000718301,0.0310416,0.0305888,0.00277895,0.0320914,0.097496,1334.73,893.4,158.801,1.00362
beta_def[6],0.0586827,0.000977935,0.0457677,0.0446565,0.00542276,0.0487028,0.148163,1561.94,1006.47,185.835,1.00231
beta_def[7],0.119607,0.00192359,0.070627,0.0746915,0.0176702,0.111951,0.240142,985.534,644.714,117.256,1.00003
beta_def[8],0.0482182,0.000885173,0.0338548,0.0350012,0.00476845,0.0415826,0.111991,809.26,410.941,96.2832,1.00303
sigma,6.07884,0.00075873,0.0426974,0.0403041,6.00622,6.07907,6.14933,3143.05,1395.58,373.95,1.0017
