Player,Salary
Stephen Curry,55761217
Nikola Jokic,51415938
Joel Embiid,51415938
Kevin Durant,51179020
Bradley Beal,50203930
Jaylen Brown,49205800
Karl-Anthony Towns,49205800
Devin Booker,49205800
Paul George,49205800
Kawhi Leonard,49205800
Jimmy Butler,48798677
Damian Lillard,48787676
Giannis Antetokounmpo,48787676
LeBron James,48728845
Zach LaVine,44531940
Rudy Gobert,43827586
Anthony Davis,43219440
Trae Young,43031940
Luka Doncic,43031940
Fred VanVleet,42846615
Lauri Markkanen,42176400
Tyrese Haliburton,42176400
Pascal Siakam,42176400
Anthony Edwards,42176400
Ben Simmons,40338144
Kyrie Irving,40000000
Domantas Sabonis,39200000
Darius Garland,36725670
Ja Morant,36725670
Zion Williamson,36725670
OG Anunoby,36637932
Jamal Murray,36016200
Brandon Ingram,36016200
Michael Porter,35859950
Shai Gilgeous-Alexander,35859950
Donovan Mitchell,35410310
LaMelo Ball,35147000
Tyrese Maxey,35147000
Jayson Tatum,34848340
Bam Adebayo,34848340
De'Aaron Fox,34848340
Desmond Bane,34005250
Deandre Ayton,34005126
James Harden,33653846
CJ McCollum,33333333
Immanuel Quickley,32500000
Julius Randle,31695840
Khris Middleton,31000000
Jrue Holiday,30000000
Isaiah Hartenstein,30000000
Jerami Grant,29793104
Jordan Poole,29651786
Devin Vassell,29347826
Kristaps Porzingis,29268293
Tyler Herro,29000000
Dejounte Murray,28817135
Jonathan Isaac,27600000
Nicolas Claxton,27556817
Miles Bridges,27173913
John Collins,26580000
Andrew Wiggins,26276786
Anfernee Simons,25892857
RJ Barrett,25794643
Tobias Harris,25365854
Jaren Jackson Jr,25257798
Jalen Brunson,24960001
Terry Rozier,24924126
Draymond Green,24107143
Kyle Kuzma,23856060
DeMar DeRozan,23400000
Mikal Bridges,23300000
Dillon Brooks,23255493
Cameron Johnson,23062500
Jaden McDaniels,23017242
Brook Lopez,23000000
Bruce Brown,23000000
Aaron Gordon,22841455
Kentavious Caldwell-Pope,22757000
Malcolm Brogdon,22500000
Clint Capela,22265280
De'Andre Hunter,21696429
Lonzo Ball,21395348
Marcus Smart,20210285
Nikola Vucevic,20000000
Jarrett Allen,20000000
Myles Turner,19928500
Derrick White,19821429
Jakob Poeltl,19500000
Duncan Robinson,19406000
Norman Powell,19241379
Bojan Bogdanovic,19032850
Keldon Johnson,19000000
D'Angelo Russell,18692307
Collin Sexton,18150000
Josh Hart,18144000
Jusuf Nurkic,18125000
Harrison Barnes,18000000
Patrick Williams,18000000
Malik Monk,17405203
Bogdan Bogdanovic,17260000
Rui Hachimura,17000000
Luguentz Dort,17000000
Kevin Huerter,16830357
Zach Collins,16741200
Caris LeVert,16615384
Tim Hardaway Jr,16193183
