lineup_key,archetype_lineup,possessions,minutes,points,fga_2pt,fga_3pt,fgm_2pt,fgm_3pt,ftm,fta,pts_2pt,pts_3pt,pts_ft,ast,tov,w_pct,plus_minus,off_rating,pace,ast_pct,ast_to,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_ft,pct_pts_off_tov,pct_pts_paint
0_0_1_1_3,0_0_1_1_3,643,321.5,212,76,0,76,0,0,0,152,0,0,0,0,1.0,212,32.97045101088647,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_3_6,0_0_1_3_6,387,193.5,98,36,0,36,0,0,0,72,0,0,0,0,1.0,98,25.32299741602067,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_5_6,0_0_1_5_6,29,14.5,12,6,0,6,0,0,0,12,0,0,0,0,1.0,12,41.37931034482759,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_1_5_6,0_1_1_5_6,376,188.0,131,48,0,48,0,0,0,96,0,0,0,0,1.0,131,34.840425531914896,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_1_3_3,0_1_1_3_3,194,97.0,46,21,0,21,0,0,0,42,0,0,0,0,1.0,46,23.711340206185564,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_3_3,0_0_1_3_3,3760,1880.0,1286,491,0,491,0,0,0,982,0,0,0,0,1.0,1286,34.202127659574465,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
1_1_3_5_6,1_1_3_5_6,349,174.5,121,46,0,46,0,0,0,92,0,0,0,0,1.0,121,34.67048710601719,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_3_5_6,0_1_3_5_6,111,55.5,20,6,0,6,0,0,0,12,0,0,0,0,1.0,20,18.01801801801802,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_3_3_5,0_1_3_3_5,2474,1237.0,762,272,0,272,0,0,0,544,0,0,0,0,1.0,762,30.80032336297494,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_3_3_5,0_0_3_3_5,5887,2943.5,1822,673,0,673,0,0,0,1346,0,0,0,0,1.0,1822,30.949549855614066,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_3_5,0_0_0_3_5,4056,2028.0,1187,432,0,432,0,0,0,864,0,0,0,0,1.0,1187,29.26528599605523,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_3_5,0_0_1_3_5,3146,1573.0,978,350,0,350,0,0,0,700,0,0,0,0,1.0,978,31.087094723458357,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_1_5,0_0_0_1_5,885,442.5,281,104,0,104,0,0,0,208,0,0,0,0,1.0,281,31.751412429378533,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_5_7,0_0_1_5_7,544,272.0,154,57,0,57,0,0,0,114,0,0,0,0,1.0,154,28.308823529411764,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_5_7,0_0_0_5_7,10116,5058.0,2983,1045,0,1045,0,0,0,2090,0,0,0,0,1.0,2983,29.487939897192568,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_0_7,0_0_0_0_7,3656,1828.0,1115,410,0,410,0,0,0,820,0,0,0,0,1.0,1115,30.49781181619256,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_1_7,0_0_0_1_7,27,13.5,8,4,0,4,0,0,0,8,0,0,0,0,1.0,8,29.629629629629626,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_2_3_3,0_0_2_3_3,5213,2606.5,1743,653,0,653,0,0,0,1306,0,0,0,0,1.0,1743,33.4356416650681,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_3_7,0_0_0_3_7,6645,3322.5,2049,744,0,744,0,0,0,1488,0,0,0,0,1.0,2049,30.835214446952598,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_3_3_7,0_0_3_3_7,3895,1947.5,1218,439,0,439,0,0,0,878,0,0,0,0,1.0,1218,31.270860077021823,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_3_3_5_7,0_3_3_5_7,1924,962.0,555,185,0,185,0,0,0,370,0,0,0,0,1.0,555,28.846153846153843,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_1_4,0_0_0_1_4,1125,562.5,331,123,0,123,0,0,0,246,0,0,0,0,1.0,331,29.42222222222222,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_4_7,0_0_1_4_7,224,112.0,79,27,0,27,0,0,0,54,0,0,0,0,1.0,79,35.267857142857146,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_4_7,0_0_0_4_7,8213,4106.5,2425,902,0,902,0,0,0,1804,0,0,0,0,1.0,2425,29.526360647753563,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_4_5_7,0_0_4_5_7,7440,3720.0,2206,833,0,833,0,0,0,1666,0,0,0,0,1.0,2206,29.650537634408604,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_3_5_7,0_0_3_5_7,5308,2654.0,1528,537,0,537,0,0,0,1074,0,0,0,0,1.0,1528,28.786737000753583,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_4_5,0_0_0_4_5,4771,2385.5,1609,633,0,633,0,0,0,1266,0,0,0,0,1.0,1609,33.72458604066234,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_4_5_7,0_1_4_5_7,481,240.5,173,63,0,63,0,0,0,126,0,0,0,0,1.0,173,35.96673596673597,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_4_5,0_0_1_4_5,723,361.5,221,81,0,81,0,0,0,162,0,0,0,0,1.0,221,30.567081604426004,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_0_4,0_0_0_0_4,2911,1455.5,842,294,0,294,0,0,0,588,0,0,0,0,1.0,842,28.924768120920646,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_3_4_4,0_2_3_4_4,196,98.0,62,17,0,17,0,0,0,34,0,0,0,0,1.0,62,31.63265306122449,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_2_4_4,0_0_2_4_4,459,229.5,166,66,0,66,0,0,0,132,0,0,0,0,1.0,166,36.165577342047925,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_2_3_4,0_0_2_3_4,6318,3159.0,2047,751,0,751,0,0,0,1502,0,0,0,0,1.0,2047,32.39949351060462,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
