source_name,canonical_name
alexandre sarr,
armel traore,
bj boston,
bogdan bogdanovic,
bojan bogdanovic,
brandon boston jr,
cameron whitmore,
carlton carrington,
charlie brown,
craig porter,
dante exum,
dario saric,
daron holmes,
davis bertans,
dennis schroder,
dennis schroeder,
dereck lively,
derrick jones,
herb jones,
jaime jaquez,
jeenathan williams,
jeff dowtin,
jimmy butler,
jonas valanciunas,
josh primo,
jusuf nurkic,
karlo matkovic,
kelly oubre,
kenyon martin jr,
kevin knox,
kristaps porzingis,
lonnie walker,
luka doncic,
marvin bagley,
michael porter,
monte morris,
moussa diabate,
nahshon hyland,
nick smith,
nicolas claxton,
nikola jokic,
nikola jovic,
nikola topic,
nikola vucevic,
pacome dadiet,
patrick baldwin,
patrick mills,
ricky council,
robert williams,
ron holland,
santiago aldama,
sviatoslav mykhailiuk,
tidjane salaun,
trey jemison,
trey murphy,
vasilije micic,
vit krejci,
vlatko cancar,
wendell carter,
wendell moore,
AJ Green,AJ Green
AJ Johnson,AJ Johnson
Aaron Gordon,Aaron Gordon
Aaron Holiday,Aaron Holiday
Aaron Nesmith,Aaron Nesmith
Aaron Wiggins,Aaron Wiggins
Adama Sanogo,Adama Sanogo
Adem Bona,Adem Bona
Ajay Mitchell,Ajay Mitchell
Al Horford,Al Horford
Alec Burks,Alec Burks
Alex Caruso,Alex Caruso
Alex Len,Alex Len
Alex Sarr,Alex Sarr
Alperen Sengun,Alperen Sengun
Amen Thompson,Amen Thompson
Amir Coffey,Amir Coffey
Andre Drummond,Andre Drummond
