parameter,mean
beta_0,0.182770359099
beta_off[1],0.0015415761916506249
beta_off[2],0.00408958437433
beta_off[3],0.0002075712063154146
beta_off[4],0.010380996039243721
beta_off[5],0.00054396969845285
beta_off[6],0.0008124477814821593
beta_off[7],0.0025643326264589
beta_off[8],0.004728651124079999
beta_def[1],0.018432502376829602
beta_def[2],0.0003147295778311735
beta_def[3],9.673290984637396e-05
beta_def[4],0.01200994416973151
beta_def[5],0.003111574623119
beta_def[6],0.00139414630519128
beta_def[7],0.000311123271427414
beta_def[8],8.34591345178367e-05
