parameter,mean
beta_0,0.18744489290000005
beta_off[1],0.0172424866997
beta_off[2],0.0026061200971100006
beta_off[3],0.0035243824472299995
beta_off[4],0.029031186185699998
beta_off[5],0.0028703257118300003
beta_off[6],0.0093239245555
beta_off[7],0.0075133786736699985
beta_off[8],0.0076875101174
beta_def[1],0.09998691535200001
beta_def[2],0.0081743010298
beta_def[3],0.0079019271129
beta_def[4],0.059451207260800006
beta_def[5],0.0042166044337299995
beta_def[6],0.00289890048283
beta_def[7],0.008172326284000001
beta_def[8],0.006121373215219998
