parameter,mean
beta_0,0.20289958222
beta_off[1],0.006545263773115
beta_off[2],0.0010594858908182102
beta_off[3],0.00065045506341078
beta_off[4],0.012120335247900002
beta_off[5],0.0030263810722020003
beta_off[6],0.005745581848795
beta_off[7],0.0066952294374039
beta_off[8],0.0076414847773135
beta_def[1],0.00023936482627120501
beta_def[2],0.0005872177114698999
beta_def[3],0.002801209947590995
beta_def[4],0.00041701087648774
beta_def[5],0.005221300544155
beta_def[6],0.00068843585996932
beta_def[7],0.00282754516662485
beta_def[8],0.00066815212936681
