2025-04-29 15:36:41,578 - INFO - Starting data fetch process...
2025-04-29 15:36:41,579 - INFO - Database connection established successfully.
2025-04-29 15:36:41,580 - ERROR - Error in fetch_all_data: no such table: nba_games
2025-04-29 15:36:41,580 - ERROR - Error in main process: no such table: nba_games
2025-04-29 15:37:12,844 - INFO - Starting data fetch process...
2025-04-29 15:37:12,844 - INFO - Database connection established successfully.
2025-04-29 15:37:12,845 - INFO - Found 0 unprocessed games
2025-04-29 15:37:12,845 - INFO - Data fetch process completed successfully.
2025-04-29 15:38:23,125 - INFO - Starting data fetch process...
2025-04-29 15:38:23,125 - INFO - Database connection established successfully.
2025-04-29 15:38:23,126 - INFO - Found 100 unprocessed games
2025-04-29 15:38:23,127 - INFO - Fetching Base team dashboard data for team 1610612748, game 0022401190
2025-04-29 15:38:23,127 - ERROR - Error fetching team dashboard data for team 1610612748, game 0022401190: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,127 - INFO - Fetching Base team dashboard data for team 1610612738, game 0022401187
2025-04-29 15:38:23,127 - ERROR - Error fetching team dashboard data for team 1610612738, game 0022401187: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,127 - INFO - Fetching Base team dashboard data for team 1610612753, game 0022401186
2025-04-29 15:38:23,127 - ERROR - Error fetching team dashboard data for team 1610612753, game 0022401186: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,127 - INFO - Fetching Base team dashboard data for team 1610612755, game 0022401191
2025-04-29 15:38:23,127 - ERROR - Error fetching team dashboard data for team 1610612755, game 0022401191: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,127 - INFO - Fetching Base team dashboard data for team 1610612751, game 0022401188
2025-04-29 15:38:23,127 - ERROR - Error fetching team dashboard data for team 1610612751, game 0022401188: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,127 - INFO - Fetching Base team dashboard data for team 1610612739, game 0022401189
2025-04-29 15:38:23,127 - ERROR - Error fetching team dashboard data for team 1610612739, game 0022401189: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,127 - INFO - Fetching Base team dashboard data for team 1610612749, game 0022401192
2025-04-29 15:38:23,127 - ERROR - Error fetching team dashboard data for team 1610612749, game 0022401192: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
2025-04-29 15:38:23,127 - INFO - Fetching Base team dashboard data for team 1610612762, game 0022401195
2025-04-29 15:38:23,127 - ERROR - Error fetching team dashboard data for team 1610612762, game 0022401195: NBAStatsClient.get_team_dashboard() got an unexpected keyword argument 'date_from'
