player_id,season,archetype_id,archetype_name
2544,2024-25,0,Playmaking Guards
101108,2024-25,0,Playmaking Guards
201142,2024-25,0,Playmaking Guards
201143,2024-25,1,Archetype 2
201144,2024-25,0,Playmaking Guards
201566,2024-25,0,Playmaking Guards
201572,2024-25,1,Archetype 2
201587,2024-25,1,Archetype 2
201935,2024-25,0,Playmaking Guards
201939,2024-25,0,Playmaking Guards
201942,2024-25,0,Playmaking Guards
201950,2024-25,1,Archetype 2
202331,2024-25,0,Playmaking Guards
202681,2024-25,0,Playmaking Guards
202685,2024-25,1,Archetype 2
202691,2024-25,1,Archetype 2
202695,2024-25,0,Playmaking Guards
202696,2024-25,1,Archetype 2
202699,2024-25,1,Archetype 2
202710,2024-25,0,Playmaking Guards
203076,2024-25,1,Archetype 2
203078,2024-25,0,Playmaking Guards
203081,2024-25,0,Playmaking Guards
203084,2024-25,1,Archetype 2
203110,2024-25,1,Archetype 2
203468,2024-25,0,Playmaking Guards
203471,2024-25,0,Playmaking Guards
203484,2024-25,1,Archetype 2
203486,2024-25,1,Archetype 2
203497,2024-25,1,Archetype 2
203501,2024-25,1,Archetype 2
203507,2024-25,0,Playmaking Guards
203552,2024-25,1,Archetype 2
203897,2024-25,0,Playmaking Guards
203915,2024-25,0,Playmaking Guards
203924,2024-25,1,Archetype 2
203932,2024-25,1,Archetype 2
203937,2024-25,1,Archetype 2
203944,2024-25,0,Playmaking Guards
203952,2024-25,1,Archetype 2
203991,2024-25,1,Archetype 2
203992,2024-25,1,Archetype 2
203994,2024-25,1,Archetype 2
203999,2024-25,0,Playmaking Guards
204001,2024-25,1,Archetype 2
204456,2024-25,0,Playmaking Guards
1626145,2024-25,0,Playmaking Guards
1626156,2024-25,0,Playmaking Guards
1626157,2024-25,1,Archetype 2
1626162,2024-25,1,Archetype 2
1626164,2024-25,0,Playmaking Guards
1626166,2024-25,1,Archetype 2
1626167,2024-25,1,Archetype 2
1626168,2024-25,1,Archetype 2
1626171,2024-25,1,Archetype 2
1626172,2024-25,1,Archetype 2
1626179,2024-25,0,Playmaking Guards
1626181,2024-25,0,Playmaking Guards
1626220,2024-25,1,Archetype 2
1627732,2024-25,1,Archetype 2
1627734,2024-25,1,Archetype 2
1627736,2024-25,1,Archetype 2
1627739,2024-25,1,Archetype 2
1627741,2024-25,1,Archetype 2
1627747,2024-25,1,Archetype 2
1627749,2024-25,0,Playmaking Guards
1627750,2024-25,0,Playmaking Guards
1627751,2024-25,1,Archetype 2
1627752,2024-25,1,Archetype 2
1627759,2024-25,0,Playmaking Guards
1627777,2024-25,1,Archetype 2
1627783,2024-25,1,Archetype 2
1627824,2024-25,1,Archetype 2
1627826,2024-25,1,Archetype 2
1627827,2024-25,1,Archetype 2
1627832,2024-25,0,Playmaking Guards
1627884,2024-25,1,Archetype 2
1627936,2024-25,1,Archetype 2
1628368,2024-25,0,Playmaking Guards
1628369,2024-25,0,Playmaking Guards
1628370,2024-25,0,Playmaking Guards
1628371,2024-25,1,Archetype 2
1628374,2024-25,1,Archetype 2
1628378,2024-25,0,Playmaking Guards
1628379,2024-25,1,Archetype 2
1628381,2024-25,1,Archetype 2
1628384,2024-25,1,Archetype 2
1628386,2024-25,1,Archetype 2
1628389,2024-25,1,Archetype 2
1628392,2024-25,1,Archetype 2
1628398,2024-25,1,Archetype 2
1628401,2024-25,0,Playmaking Guards
1628404,2024-25,0,Playmaking Guards
1628415,2024-25,1,Archetype 2
1628436,2024-25,1,Archetype 2
1628960,2024-25,1,Archetype 2
1628969,2024-25,1,Archetype 2
1628970,2024-25,0,Playmaking Guards
1628973,2024-25,0,Playmaking Guards
1628976,2024-25,1,Archetype 2
1628978,2024-25,0,Playmaking Guards
1628983,2024-25,0,Playmaking Guards
1628989,2024-25,1,Archetype 2
1628991,2024-25,1,Archetype 2
1628997,2024-25,1,Archetype 2
1628998,2024-25,1,Archetype 2
1629008,2024-25,1,Archetype 2
1629012,2024-25,0,Playmaking Guards
1629014,2024-25,0,Playmaking Guards
1629018,2024-25,1,Archetype 2
1629023,2024-25,1,Archetype 2
1629026,2024-25,1,Archetype 2
1629027,2024-25,0,Playmaking Guards
1629028,2024-25,1,Archetype 2
1629029,2024-25,0,Playmaking Guards
1629048,2024-25,1,Archetype 2
