matchup_id,count,percentage
1_1,51781,7.663981315521112
2_1,36721,5.434986923528916
1_4,32193,4.764808529973759
4_1,31782,4.7039774081205845
1_2,30823,4.562038123796514
3_1,26234,3.8828312669006175
2_2,25985,3.8459773755589137
1_0,25777,3.815191795642953
0_1,25720,3.806755362685213
2_4,25335,3.7497724383215343
4_2,22834,3.37960544135125
1_3,22096,3.2703758356878874
4_4,22084,3.26859974453889
2_0,18915,2.7995636736077296
0_4,18397,2.7228957390093256
2_3,17630,2.6093739130692186
3_2,17431,2.5799204015150057
3_4,16828,2.4906718212778682
0_2,16739,2.4774991452561346
4_0,16433,2.4322088209566917
4_3,15641,2.314986805122839
5_1,15552,2.3018141291011056
1_5,13911,2.058933664475661
0_0,13584,2.010535180665472
3_0,12966,1.9190664864920868
0_3,12703,1.8801404888098856
3_3,11953,1.769134791997525
2_5,10760,1.5925617302679975
5_2,10329,1.5287704564998277
5_4,9809,1.4518065067099244
4_5,9198,1.3613738657067882
5_0,8798,1.3021708274068626
0_5,8657,1.2813017564061386
3_5,8314,1.2305351510639526
5_3,7822,1.157715413955044
5_5,3906,0.578117668998773
