# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_model
# start_datetime = 2025-10-15 13:07:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 1500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmppy3este1/xvqajixn.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmppy3este1/bayesian_model_k8vj96rar3/bayesian_model_k8-20251015090742_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta_off.1,beta_off.2,beta_off.3,beta_off.4,beta_off.5,beta_off.6,beta_off.7,beta_off.8,beta_def.1,beta_def.2,beta_def.3,beta_def.4,beta_def.5,beta_def.6,beta_def.7,beta_def.8,sigma
# Adaptation terminated
# Step size = 0.205145
# Diagonal elements of inverse mass matrix:
# 6.70606e-06, 1.28836, 0.0216957, 1.51405, 1.1889, 0.459582, 0.726277, 0.153532, 0.0206554, 0.79715, 1.65936, 1.60035, 1.33079, 0.0450349, 0.663201, 1.21013, 1.58791, 5.66172e-06
53166.215,0.9180056,0.20514479,4,15,0,-53157.718,0.18354539,0.00014661346,0.0037170777,0.0002791652,0.0069778448,0.00017895565,0.0017170388,0.0020209663,0.0051161175,0.030489996,0.00080889985,0.00013635286,0.011385439,0.002654275,0.0014445325,0.00067835168,1.6995586e-06,0.55694741
53166.846,0.93909169,0.20514479,4,15,0,-53160.445,0.17989271,0.0016590118,0.0047118931,4.6382415e-05,0.019219229,0.0013767192,0.00061919384,0.0016258736,0.0042351096,0.016458033,0.00010853685,0.00010224509,0.019470997,0.0040897825,0.0020235292,9.4895181e-05,3.8942479e-05,0.55677899
53166.89,0.93798428,0.20514479,4,15,0,-53157.289,0.18423156,0.00092266619,0.0035083651,0.00034272375,0.0084133469,8.3272136e-05,0.0012954729,0.0040748967,0.0057809761,0.028935052,0.0006921696,3.9237842e-05,0.0077787127,0.0024762005,0.0014631542,0.00075415353,0.00015367785,0.55660007
53168.282,0.91974247,0.20514479,4,15,0,-53157.472,0.18244208,0.00053542103,0.0028945265,0.00027374626,0.022521744,0.00019610388,0.00075073087,0.0026760719,0.0047903596,0.021260575,0.00033188658,6.3495466e-05,0.014258663,0.0025691683,0.0022711609,0.00031237194,1.0910366e-05,0.5576863
53166.553,0.94449593,0.20514479,4,15,0,-53158.262,0.18309337,0.001083506,0.0056962425,2.2764888e-05,0.0024819589,0.00094715347,0.00085322335,0.0020005134,0.0048402612,0.026724061,0.00015377887,5.6902584e-05,0.016184614,0.0040684979,0.0014571436,0.00034793873,1.979111e-05,0.55759087
53166.876,0.9991358,0.20514479,4,15,0,-53160.055,0.18382132,0.0038104277,0.0031287184,1.2060008e-05,0.0043976537,0.00030620684,0.00082229174,0.004177437,0.0049934327,0.010972661,0.00017282339,2.350549e-05,0.010710497,0.0027285419,0.0010762501,0.00038680305,3.1976674e-05,0.55688255
53169.868,0.91885368,0.20514479,4,15,0,-53161.08,0.18343534,0.00037480858,0.0048891212,0.00042762227,0.025268233,0.00047571611,0.00087021861,0.0011446887,0.0044651532,0.023021006,0.00046688095,6.5135104e-05,0.021248925,0.0036262283,0.0010525104,0.00026262288,0.00014764862,0.55751501
