# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_model
# start_datetime = 2025-10-16 14:10:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 50
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmp8y4lz8b4/z0qoxosl.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmp8y4lz8b4/bayesian_model_k8e4ydyclq/bayesian_model_k8-20251016101028_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta_off.1,beta_off.2,beta_off.3,beta_off.4,beta_off.5,beta_off.6,beta_off.7,beta_off.8,beta_def.1,beta_def.2,beta_def.3,beta_def.4,beta_def.5,beta_def.6,beta_def.7,beta_def.8,sigma
# Adaptation terminated
# Step size = 0.00100676
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
21260.695,0.98024222,0.0010067627,2,3,0,-20633.368,0.2471173,0.14077024,0.044078316,0.040441357,0.39755308,0.017568183,0.041224363,0.05262877,0.045361117,0.24443287,0.074510538,0.048314643,0.34743241,0.041293708,0.059756376,0.080706741,0.033020593,0.58481768
21845.895,1,0.0010067627,2,3,0,-21255.688,0.24686248,0.14041799,0.043573739,0.040171115,0.39570816,0.017363342,0.040806951,0.052101007,0.044993658,0.24381625,0.073810012,0.047782705,0.3463795,0.040909983,0.059151688,0.079883034,0.03257481,0.58689308
22969.452,1,0.0010067627,3,7,0,-21840.851,0.24540634,0.13863783,0.042697296,0.039353457,0.39299758,0.016937343,0.040054173,0.051135744,0.043968972,0.24270816,0.072559518,0.046797275,0.34402692,0.040274644,0.058163561,0.07848516,0.031806759,0.58391686
23069.565,1,0.0010067627,2,3,0,-22963.664,0.24550506,0.13853839,0.042627442,0.039270892,0.39333561,0.016879168,0.039999593,0.051046822,0.04391172,0.24254121,0.072385607,0.04677938,0.34395141,0.040179749,0.058082744,0.07835682,0.031721497,0.58413514
24900.932,0.94520997,0.0010067627,3,7,0,-23064.341,0.24383061,0.13603547,0.041407086,0.037978479,0.38728887,0.01622019,0.038563731,0.049059929,0.042728572,0.24281988,0.069578009,0.045264765,0.34159151,0.039014798,0.055922458,0.075669181,0.03077065,0.58340172
25312.052,0.82040382,0.0010067627,2,3,0,-24890.511,0.24301216,0.13528412,0.041191218,0.037819554,0.38632607,0.016049376,0.038335051,0.048819136,0.042515073,0.24267652,0.068831143,0.044733012,0.34110395,0.038604941,0.055526789,0.074937601,0.03048595,0.58273426
25758.281,1,0.0010067627,2,3,0,-25298.546,0.24311548,0.13437246,0.041049062,0.037305616,0.3845067,0.015940702,0.037902868,0.048355408,0.042102403,0.2422257,0.068336441,0.044415467,0.33991551,0.038449668,0.05503501,0.074118342,0.030158522,0.5826356
31235.763,1,0.0010067627,4,15,0,-25756.11,0.23531843,0.12563642,0.036688082,0.03341005,0.3645323,0.014172968,0.033300435,0.043349637,0.037595188,0.24238063,0.059830524,0.038493166,0.33321168,0.0340581,0.048961817,0.065513995,0.026636293,0.57667262
31481.116,0.98986763,0.0010067627,2,3,0,-31229.07,0.23493511,0.12560201,0.036578337,0.033191258,0.36265513,0.014083179,0.033178141,0.04299901,0.037315465,0.24225756,0.059491192,0.038198357,0.33180992,0.033870432,0.048613222,0.065080258,0.026487997,0.57728
31741.661,0.83907406,0.0010067627,2,3,0,-31475.305,0.2347168,0.12537823,0.036345773,0.033015228,0.36027808,0.013993105,0.032920521,0.042880093,0.037075186,0.24178838,0.059107387,0.03794283,0.33123352,0.033656277,0.048220789,0.064565759,0.026293133,0.57623415
