# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_model
# start_datetime = 2025-10-16 14:10:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 50
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmp8y4lz8b4/z0qoxosl.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmp8y4lz8b4/bayesian_model_k8e4ydyclq/bayesian_model_k8-20251016101028_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta_off.1,beta_off.2,beta_off.3,beta_off.4,beta_off.5,beta_off.6,beta_off.7,beta_off.8,beta_def.1,beta_def.2,beta_def.3,beta_def.4,beta_def.5,beta_def.6,beta_def.7,beta_def.8,sigma
# Adaptation terminated
# Step size = 0.000841743
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
45938.424,0.74482846,0.00084174314,4,15,0,-45814.106,0.2092855,0.084585303,0.019683166,0.01762792,0.22716278,0.00774126,0.018341506,0.023008728,0.020584051,0.49525116,0.031654509,0.020053845,0.338577,0.018261512,0.025610236,0.033988522,0.014282469,0.56363331
46241.602,0.99843904,0.00084174314,5,31,0,-45931.534,0.20761569,0.083330871,0.019210033,0.017329183,0.22460059,0.0075824612,0.017733497,0.022393842,0.020033102,0.48843802,0.031071901,0.019421394,0.33578009,0.017866655,0.025168102,0.033339402,0.013927125,0.56345556
46299.538,0.59717585,0.00084174314,3,7,0,-46229.433,0.20663904,0.082858023,0.019134123,0.01725979,0.224395,0.0075601867,0.017555033,0.022389227,0.019978166,0.48712317,0.030806942,0.019415144,0.33586582,0.017669688,0.024956912,0.033163556,0.013907885,0.56416138
46745.881,0.99200367,0.00084174314,4,15,0,-46288.189,0.20683092,0.080085497,0.018256517,0.016840992,0.21930941,0.0072799744,0.016853804,0.021267778,0.019492865,0.47145914,0.029979115,0.018836542,0.32852236,0.017469701,0.024212507,0.031697203,0.01333254,0.56255534
46805.17,0.8698623,0.00084174314,3,7,0,-46733.298,0.20563393,0.079914489,0.018139874,0.016674212,0.21846331,0.0072492821,0.016644879,0.021236152,0.019325092,0.46820971,0.029859875,0.018775564,0.32584345,0.017361912,0.02421801,0.031681525,0.013370341,0.56370003
47064.28,0.95381883,0.00084174314,4,15,0,-46789.101,0.2057657,0.078876031,0.017930746,0.016209418,0.2157583,0.0071140384,0.016477075,0.020740985,0.019001844,0.46111524,0.029016008,0.018641171,0.31704725,0.017218711,0.023510638,0.030804755,0.012816661,0.56227625
47107.589,0.84711846,0.00084174314,3,7,0,-47053.077,0.20535019,0.078651115,0.017875,0.016096945,0.21508883,0.0070595963,0.016359914,0.020624383,0.018963967,0.45879518,0.028926142,0.018544701,0.31717726,0.017210958,0.023411722,0.030727055,0.012844123,0.56309773
47126.427,0.77310107,0.00084174314,3,7,0,-47101.858,0.2053671,0.078553332,0.017812829,0.01608284,0.21503401,0.0070503761,0.016338481,0.020618154,0.018941692,0.45868765,0.028909693,0.018471673,0.31740031,0.017177763,0.023375063,0.030654296,0.012800584,0.56228988
47173.214,0.97240291,0.00084174314,3,7,0,-47117.806,0.20592473,0.077938905,0.017779661,0.015993494,0.21391284,0.0070459097,0.016344906,0.020578199,0.018852676,0.45603811,0.02878746,0.018412627,0.3162294,0.017087134,0.023325686,0.030454607,0.012767544,0.56284313
50013.419,0.78777493,0.00084174314,9,511,0,-47160.303,0.19785837,0.057245009,0.013907793,0.011689434,0.18068942,0.0050420998,0.011691094,0.015496956,0.013922716,0.34203138,0.021278341,0.012918156,0.22642711,0.012487296,0.01696792,0.020946149,0.0086721373,0.56049991
50023.597,0.95083326,0.00084174314,4,15,0,-50004.618,0.20052333,0.057084961,0.01389544,0.011696567,0.18015629,0.0050359179,0.011641425,0.015499357,0.013881094,0.34310804,0.021169999,0.012888291,0.22637539,0.012445893,0.016907562,0.020905804,0.0087082475,0.55976582
50139.421,0.99461994,0.00084174314,4,15,0,-50017.382,0.20005324,0.056021886,0.013637401,0.011493009,0.17711542,0.0049355185,0.011451184,0.015054312,0.013670437,0.333476,0.020750062,0.012611378,0.22274424,0.012403853,0.016761264,0.020684253,0.0084922276,0.5603998
50321.369,0.99218239,0.00084174314,5,31,0,-50127.426,0.19946454,0.05455095,0.013508001,0.01109112,0.17931399,0.0047652157,0.010990827,0.014569829,0.013042899,0.32118475,0.019960896,0.012109866,0.2129061,0.012115765,0.016311731,0.020093783,0.0083548211,0.56014424
50337.538,0.97352493,0.00084174314,4,15,0,-50315.878,0.19918805,0.054281772,0.013395456,0.011078541,0.17910363,0.0047524018,0.010944652,0.014557405,0.012985354,0.32033622,0.019905156,0.012123572,0.21197112,0.012077148,0.016362013,0.02000959,0.0083254058,0.55916057
50374.151,0.97274096,0.00084174314,4,15,0,-50329.744,0.19719575,0.054009064,0.013430597,0.011021895,0.17913293,0.0046866917,0.010791871,0.014553983,0.012812969,0.32142124,0.019764729,0.011943355,0.21066203,0.012063277,0.016269635,0.019776048,0.0082520213,0.56036744
