# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_model
# start_datetime = 2025-10-16 14:16:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmpc0pyra35/kjk5akbg.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmpc0pyra35/bayesian_model_k8usjzha9m/bayesian_model_k8-20251016101616.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta_off.1,beta_off.2,beta_off.3,beta_off.4,beta_off.5,beta_off.6,beta_off.7,beta_off.8,beta_def.1,beta_def.2,beta_def.3,beta_def.4,beta_def.5,beta_def.6,beta_def.7,beta_def.8,sigma
# Adaptation terminated
# Step size = 0.00615695
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
699.66933,0.75249795,0.0061569545,9,511,0,-694.07058,0.20338098,0.0093928752,0.0043268262,0.0006152679,0.016860513,0.0036122384,0.022291667,0.01021972,0.0051121406,0.13165591,0.013418537,0.0096804412,0.00048176528,0.0049840113,0.00086311372,0.011943803,0.0056290111,0.5537958
701.2986,0.99235495,0.0061569545,9,767,0,-691.24781,0.182705,0.0055962673,0.0037522826,0.0016865164,0.0020958987,0.0021074809,0.0033691955,0.0098300382,0.0042158962,0.20991589,0.0074680941,0.011517051,0.0036203703,0.0078865173,0.0045323035,0.0090113447,0.0057537767,0.56810471
698.83764,0.89531679,0.0061569545,9,511,0,-692.38839,0.19875307,0.015395095,0.0041504766,0.0011528462,0.00048539677,0.0019704439,0.012519376,0.014584165,0.017037903,0.040261044,0.0095109686,0.0077867557,0.0037432532,0.0041012551,0.0063140393,0.0072567963,0.010683934,0.55018323
700.04962,0.94346186,0.0061569545,9,511,0,-689.50817,0.1911913,0.018979736,0.0012048147,0.0075306579,0.040198497,0.00085237874,0.014959618,0.0009132169,0.0020670897,0.10017364,0.0073124503,0.0050274248,0.24892516,0.00058019261,0.001279041,0.01387203,0.0090069165,0.56049111
694.61138,0.75732072,0.0061569545,7,127,0,-688.69884,0.2094507,0.01726877,0.0014707797,0.0063377132,0.031589343,0.00089322798,0.031118487,0.0010699879,0.0024523625,0.12761132,0.0072597203,0.0053273019,0.18377064,0.00066394278,0.0012890183,0.011944696,0.0073243525,0.56452086
693.82259,0.98247618,0.0061569545,9,511,0,-682.09166,0.17611414,0.026740861,0.0049689925,0.0025435483,0.011691384,0.0043646869,0.00016729055,2.9322548e-05,0.019090753,0.11692232,0.0028615109,0.0057997694,0.024546464,0.0083740861,0.010171834,0.0022482073,0.0072027337,0.55950282
696.06424,0.71990691,0.0061569545,9,511,0,-678.22829,0.17306786,0.011740497,0.00069782335,0.0027806583,0.04601546,0.0024932287,0.00020939442,0.0056044523,0.0012144957,0.0027091167,0.005183092,0.0041020883,0.052067139,0.0044097928,0.00073455769,0.0050680684,0.0041540542,0.56122227
697.15975,0.98401908,0.0061569545,9,511,0,-686.38445,0.1629286,0.0072407511,0.00026574353,0.008344568,0.03910558,0.0054393799,0.00022629994,0.0025412262,0.0060751806,0.0097996274,0.012723257,0.0031459128,0.10190883,0.0094187725,0.0076178504,0.01913093,0.007044891,0.5594093
703.56371,0.97238394,0.0061569545,9,511,0,-692.23872,0.18013419,0.026297303,0.00049712459,0.0030497371,0.0036503171,0.0033234184,0.00067856109,0.0055626984,0.0080936198,0.076537146,0.0089425276,0.0084580695,0.10755862,0.0024086814,0.0015994527,0.004517192,0.0064027194,0.562645
701.60032,0.86630423,0.0061569545,9,511,0,-696.75089,0.16493535,0.01824263,0.00012365702,0.004814473,0.017047975,0.0040118705,0.00038304033,0.007774321,0.010453615,0.13040004,0.010594186,0.0046957602,0.023784893,0.0034851459,0.0069324522,0.0157822,0.0065816718,0.56006098
