# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_model
# start_datetime = 2025-10-27 13:10:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmp_j2yt7eq/a1vnklm2.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmp_j2yt7eq/bayesian_model_k846f8c0mn/bayesian_model_k8-20251027091049_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta_off.1,beta_off.2,beta_off.3,beta_off.4,beta_off.5,beta_off.6,beta_off.7,beta_off.8,beta_def.1,beta_def.2,beta_def.3,beta_def.4,beta_def.5,beta_def.6,beta_def.7,beta_def.8,sigma
# Adaptation terminated
# Step size = 0.232341
# Diagonal elements of inverse mass matrix:
# 2.1701e-05, 0.0674844, 1.01812, 1.53298, 0.0330416, 0.129722, 0.177346, 0.866112, 0.201634, 1.38315, 1.55296, 0.85333, 1.43166, 0.166908, 1.47016, 1.24362, 1.31153, 1.526e-05
-2352.1725,0.97711464,0.23234089,4,15,0,2367.4675,0.20112457,0.0056056549,0.001813259,7.2240892e-05,0.016643532,0.0028019561,0.0061783454,0.00080477493,0.0091231706,5.0708424e-05,6.8109222e-05,0.0021214046,0.00060217203,0.0057370165,0.0014215065,0.0019782961,0.00041405767,0.61982754
-2355.6991,0.93087514,0.23234089,3,7,0,2368.6795,0.20199751,0.0074579221,0.00029239462,2.201405e-05,0.012654309,0.0026770975,0.0036554212,0.016993542,0.0064530872,0.00095782113,0.0020885616,0.0050039874,3.1318931e-05,0.0060435264,0.00045038911,0.00083478624,0.0013690702,0.61981418
-2355.0666,0.89688479,0.23234089,4,15,0,2371.4809,0.20216309,0.002315,0.0031869016,0.00017786452,0.013376,0.0022273317,0.0081262418,0.0008858486,0.0061831061,3.8843076e-05,0.00022254874,0.0023355851,0.00098442756,0.0054973727,0.0011114552,0.0074030808,0.00051819444,0.619801
-2356.6771,0.9195227,0.23234089,4,15,0,2365.4764,0.20252039,0.0021464974,0.0040462834,0.00014596354,0.014325656,0.0031472788,0.0081628608,0.00053439677,0.0078497108,3.9545066e-05,0.00068454509,0.0026830206,0.00089448741,0.0059991255,0.0019237978,0.0055826003,0.00068536583,0.6177975
-2355.0764,0.96665044,0.23234089,4,15,0,2365.3609,0.20218498,0.00212551,0.0015892995,0.00014261138,0.013053766,0.0036252752,0.0096250284,0.00059163152,0.0075674046,4.9241408e-05,0.0013591404,0.0029239337,0.00066154128,0.0046156772,0.00098994128,0.002316254,0.00020647117,0.61753454
-2352.7918,0.95114557,0.23234089,4,15,0,2365.9754,0.20264847,0.0024149129,0.0017648209,0.0002292688,0.014550098,0.0029411617,0.0081450589,0.0013924325,0.0065385774,3.6012807e-05,0.0017892294,0.0031049002,0.0012039047,0.0056628179,0.0013535079,0.0034052584,0.00094291454,0.61903541
-2355.1527,0.92852684,0.23234089,4,15,0,2363.1166,0.2041728,0.0039164859,0.00069193804,0.0015355863,0.011988052,0.002235326,0.0046395744,0.0010761105,0.0067999218,4.0457548e-05,1.887869e-05,0.0031158447,6.2595327e-05,0.0045065281,0.0003059685,0.0026473464,0.00011753814,0.62131852
-2355.1038,0.97709385,0.23234089,4,15,0,2364.4077,0.19677868,0.0095303806,0.0019659939,0.00029229158,0.015326365,0.0038989403,0.0039218727,0.0021884308,0.0098229885,5.4082988e-05,0.0030911596,0.0044592355,0.00050987719,0.007019857,0.0010363513,0.0035850625,0.00066833043,0.61817855
-2353.5824,1,0.23234089,4,15,0,2361.2291,0.20340036,0.0040155173,0.0005941089,0.00037239486,0.011585158,0.0017729427,0.007456133,0.016672773,0.0082716579,0.00063956295,3.4099618e-05,0.00071334345,0.00032236515,0.0043684322,0.00015035709,0.0035495472,0.00083866966,0.62118886
