# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_model
# start_datetime = 2025-10-27 13:10:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmp_j2yt7eq/a1vnklm2.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmp_j2yt7eq/bayesian_model_k846f8c0mn/bayesian_model_k8-20251027091049_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta_off.1,beta_off.2,beta_off.3,beta_off.4,beta_off.5,beta_off.6,beta_off.7,beta_off.8,beta_def.1,beta_def.2,beta_def.3,beta_def.4,beta_def.5,beta_def.6,beta_def.7,beta_def.8,sigma
# Adaptation terminated
# Step size = 0.24521
# Diagonal elements of inverse mass matrix:
# 2.34733e-05, 0.0765782, 1.09685, 1.35687, 0.0380811, 0.138804, 0.144506, 0.895499, 0.105447, 1.50166, 1.21437, 1.14627, 1.30662, 0.214361, 1.8102, 1.7376, 2.01953, 1.42859e-05
-2350.1964,0.92237583,0.24520968,4,15,0,2355.9183,0.20440605,0.0083993499,0.00062249821,0.00038681214,0.012810097,0.003549845,0.0065549787,0.0051529023,0.010202821,2.6300421e-05,0.00046186938,0.00043147899,0.00017747299,0.0060495042,0.00055037322,0.0040172236,0.00010430449,0.62063467
-2351.4837,0.94174019,0.24520968,4,15,0,2358.4187,0.19868974,0.0068005353,0.00018151937,0.0015518122,0.012757849,0.0023334159,0.0068070719,0.0125088,0.0065801317,1.1674757e-05,0.0012082457,0.00055236992,0.00047797696,0.0067562016,0.0013155014,0.0021447034,0.00037869938,0.61944169
-2351.925,0.96771585,0.24520968,4,15,0,2358.6311,0.20034071,0.0065681875,0.00020462591,0.0024762122,0.011033942,0.002953837,0.0064578681,0.012528443,0.0059680582,2.6371852e-05,0.00099870142,0.00025909818,0.0002443317,0.006005641,0.0024616918,0.0020622916,0.00023992422,0.61881862
-2352.2529,0.92916867,0.24520968,4,15,0,2360.4187,0.19434402,0.0091759115,0.00052329697,0.00027523753,0.010684075,0.0036449258,0.0059988628,0.0044842593,0.0054016272,0.00060985877,0.00034116071,0.0010726498,0.00025870099,0.0064280939,0.00020037697,0.0010814439,2.7890843e-05,0.62080956
-2355.021,0.97135818,0.24520968,4,15,0,2363.2847,0.21057698,0.0044589894,0.0018635215,0.0011747681,0.013448541,0.0010746344,0.0044244467,0.0040491327,0.009473331,6.2680699e-05,0.00023566485,0.0003120893,0.00016260799,0.0039711933,0.00019017555,0.00051605872,0.00022773225,0.62080894
-2353.0459,0.9603789,0.24520968,4,15,0,2363.4642,0.2067421,0.0057518073,0.00020841615,0.00014044775,0.014736787,0.0010680373,0.00598948,0.012886953,0.0084831551,0.00033316557,9.9322212e-05,0.00070160246,4.1026326e-05,0.0047043403,0.0004745577,0.0021153426,0.0005193436,0.62059349
