# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_matchup_specific_model
# start_datetime = 2025-10-27 16:25:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 50
#     num_warmup = 50
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmp4z8vcqpn/uxeyxsaq.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/harrisgordon/Documents/Development/Python/sports/Basketball/lineupOptimizer/stan_model_results/bayesian_model_k8_matchup_specific-20251027122515.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8_matchup_specific.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0.1,beta_0.2,beta_0.3,beta_off.1.1,beta_off.2.1,beta_off.3.1,beta_off.1.2,beta_off.2.2,beta_off.3.2,beta_off.1.3,beta_off.2.3,beta_off.3.3,beta_off.1.4,beta_off.2.4,beta_off.3.4,beta_off.1.5,beta_off.2.5,beta_off.3.5,beta_off.1.6,beta_off.2.6,beta_off.3.6,beta_off.1.7,beta_off.2.7,beta_off.3.7,beta_off.1.8,beta_off.2.8,beta_off.3.8,beta_def.1.1,beta_def.2.1,beta_def.3.1,beta_def.1.2,beta_def.2.2,beta_def.3.2,beta_def.1.3,beta_def.2.3,beta_def.3.3,beta_def.1.4,beta_def.2.4,beta_def.3.4,beta_def.1.5,beta_def.2.5,beta_def.3.5,beta_def.1.6,beta_def.2.6,beta_def.3.6,beta_def.1.7,beta_def.2.7,beta_def.3.7,beta_def.1.8,beta_def.2.8,beta_def.3.8,sigma,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,y_pred.41,y_pred.42,y_pred.43,y_pred.44,y_pred.45,y_pred.46,y_pred.47,y_pred.48,y_pred.49,y_pred.50,y_pred.51,y_pred.52,y_pred.53,y_pred.54,y_pred.55,y_pred.56,y_pred.57,y_pred.58,y_pred.59,y_pred.60,y_pred.61,y_pred.62,y_pred.63,y_pred.64,y_pred.65,y_pred.66,y_pred.67,y_pred.68,y_pred.69,y_pred.70,y_pred.71,y_pred.72,y_pred.73,y_pred.74,y_pred.75,y_pred.76,y_pred.77,y_pred.78,y_pred.79,y_pred.80,y_pred.81,y_pred.82,y_pred.83,y_pred.84,y_pred.85,y_pred.86,y_pred.87,y_pred.88,y_pred.89,y_pred.90,y_pred.91,y_pred.92,y_pred.93,y_pred.94,y_pred.95,y_pred.96,y_pred.97,y_pred.98,y_pred.99,y_pred.100
# Adaptation terminated
# Step size = 0.0651364
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-103.75647,0.95679114,0.065136409,6,63,0,122.61539,0.53629409,0.99306874,-0.80041168,1.2026274,0.22439546,0.11983395,0.69843083,0.6138007,0.99885394,0.59701824,0.34301496,1.9996036,1.1556448,0.16389669,1.1537166,0.069528384,1.4992465,0.1413831,0.20625885,0.7971772,0.45197029,0.4644475,0.59537186,0.16326935,0.27031267,0.70727292,2.0561813,2.0927807,1.7941376,0.31654113,0.7088889,0.52047114,0.31335819,0.41645005,0.91825672,1.5662966,0.15671319,0.54133261,0.15117921,1.292328,1.0412207,2.0500393,0.56150268,1.093291,0.29677329,0.23922062,0.6481197,0.52024055,0.73616444,0.49652989,0.15650176,1.2259564,0.36249553,1.0139062,0.22901892,2.1999053,1.1642914,0.39793024,2.0082531,-1.0971898,0.24840379,-0.80127009,-1.3582744,1.0748286,0.29176411,0.6194848,0.074477067,-0.6274506,-0.10911788,0.8899778,0.028117931,0.4836235,-0.17570513,-0.52395986,-0.86373878,-0.81618873,0.49343434,-0.59278024,-0.83604963,-0.38038986,-2.1815692,0.50220627,1.2926258,1.3071585,0.21225537,0.27960419,0.42473392,-0.53165535,-1.3446437,-0.44604501,-0.87321306,-0.14207678,0.92472914,0.48958786,0.42418967,-1.2156583,-0.77897041,-0.27367842,-0.28105361,-0.35329244,0.42070495,0.32334419,0.17957365,-0.41818946,-0.90087284,1.2187273,1.0772497,-0.086613413,0.091790246,-0.8559864,-1.0139855,0.86837222,-0.28681523,0.60527977,-0.64993454,0.1476811,-0.650915,0.17002846,-0.2015762,-0.35254358,0.24281394,1.6623895,-1.1106636,0.64024502,0.1096384,-0.3047899,-1.6595255,-0.85382849,-0.20670416,0.39033041,-0.093779383,-0.28434652,-0.48642957,-0.3140291,2.0767315,-1.7288801,0.022846634,-0.53612198,0.94443999,0.075993265,-0.52231291,-0.89444947,1.1595953,-0.85476076,0.74731461,0.25929931,-0.22498059,-1.9077866,-1.3691686,0.84967699,-1.3505944,0.73166535
-109.20399,0.7259337,0.065136409,6,63,0,134.7208,0.26258966,-1.7797559,2.2441238,0.08053075,1.3345045,0.66798105,0.50066625,0.83373873,0.1743771,0.52967737,2.4714049,2.0436834,0.5805266,0.32041223,1.0213104,0.97339815,0.55847521,1.2467454,1.4910798,2.021359,1.1582053,0.074933177,0.39450465,0.043703028,0.53511196,0.26109492,0.80426769,0.71643644,0.66349072,1.2577954,0.40544683,0.56055825,1.3956466,0.89720588,0.16053423,3.4379508,1.2154147,0.24822197,2.3705752,0.99949766,0.47553831,1.3668297,0.2028663,0.17694189,1.8416628,1.3454343,0.22117595,0.35273601,0.20478706,1.6400749,0.081169232,1.3589145,-1.17387,0.72383816,0.28711659,1.4287224,1.0828311,1.1685276,0.61491472,-1.6308525,0.14147619,-0.60904803,-3.2576561,1.2272556,1.184887,0.33867263,1.6781351,-1.0363224,0.64685635,-0.9898672,-0.25396116,-0.73110662,0.80088619,-2.2736786,-1.7947921,-2.5455473,1.1003151,-1.201864,0.96459361,-1.8483779,-0.75213672,-1.0125676,1.5790212,1.6888464,-1.8108425,-0.25587081,0.46810673,-0.22991274,-0.13355085,-0.13333972,-2.2045077,-0.0023983119,-0.12277198,-0.38401126,0.97047855,-0.18397014,-1.1216651,-0.77699025,0.5878981,-0.18878415,0.59302437,-0.82666455,0.23744688,-1.2616053,-0.12036153,1.8898579,-1.0676766,-1.0318465,-0.70296236,-2.4726645,-0.99339165,0.84666735,0.84723378,1.2183051,-1.3737496,-0.52371726,-1.2238985,-0.31072618,-0.14133129,-0.77729689,-1.2180614,-0.38137988,0.56959163,-0.33673875,-0.13192638,0.42546227,-2.0502803,-0.86500837,0.033185309,0.74470429,0.12726953,-0.087974034,-1.5290704,-1.2880757,0.5018997,-1.0243926,0.16354037,-0.74232707,2.1773426,-0.33978796,-0.49031911,-1.7597718,0.8569964,-0.79893071,0.91504125,-0.46561502,-2.2837068,-1.4025337,-0.018172365,0.19534517,-1.4598825,-0.75462326
-110.64453,0.95908062,0.065136409,6,63,0,141.02522,0.23428527,-1.5784893,1.9983081,0.061705216,0.85198731,0.42652976,1.5101524,0.72497224,0.17872003,0.6202253,3.0007702,1.8265058,0.62085434,0.29291729,1.7056317,0.96008055,0.43749972,0.53948078,0.8876976,2.2547908,1.6481256,0.11395651,0.16314167,0.040789509,0.36462446,0.21404612,0.63325861,1.087004,0.76741915,1.2336688,0.16658244,0.50217564,0.71120925,0.78427857,0.3600253,4.154497,0.54476537,0.34291677,1.7565748,1.3925709,0.5397961,1.5032897,0.91300607,0.3875442,1.5018227,0.78281482,0.21159368,0.46586515,0.18590394,1.3656945,0.082490795,1.3493007,-0.77904046,1.3891644,0.73231857,1.6812043,1.1706278,1.5200437,0.37388842,-1.4939414,0.48612115,-0.15577355,-2.2697694,0.90276236,1.319447,0.80728399,2.2913763,-1.0049819,0.49318919,-0.13372437,0.75829381,-0.63903851,0.72465255,-2.6152188,-1.439846,-1.9672368,0.89434451,-0.97149004,0.73628449,-2.3386377,-1.4281614,-0.37850256,1.4526992,2.2107208,-1.9013259,0.020203407,0.11271731,-0.32970088,-1.1046486,-0.63049727,-1.8195221,-0.35858926,-0.48240255,0.060761895,1.1015402,-1.3519541,-0.046416064,-0.78857752,0.11290757,-0.22308927,0.57168336,-0.27085712,0.48413919,-1.0668071,-0.17150821,1.2563287,-0.49723079,-1.1497264,-1.2606824,-2.7766355,-1.1193541,1.2923392,1.1953475,0.88061638,-1.4694257,-0.14724217,-0.85676589,-0.1776966,-0.10711753,-0.3972582,-0.3547801,-0.82174363,0.76685971,0.20067909,0.57475731,0.20451648,-1.532662,-1.193129,0.35921289,0.5949919,0.86793325,-0.43743505,-1.8556888,-0.84407978,0.63942272,-1.6744921,0.22458456,-0.46521746,2.6333816,0.51921182,-0.18677094,-1.9845064,0.37985635,-1.6206469,1.8544674,-0.9855889,-2.1747939,-1.0654343,-0.53178378,-0.11192623,-0.99198277,-0.83342475
-123.49505,0.93592938,0.065136409,6,63,0,147.03011,-0.63815408,2.0605753,-1.1007598,0.93096431,0.1199558,2.0439357,0.078051679,0.42382093,0.66426098,0.25485396,0.2270234,2.3312116,1.2919793,0.63495823,0.27314289,0.42897459,0.16718511,0.64426146,0.78873707,0.0067093127,0.010259916,0.061287338,0.76725254,0.23321794,0.55269347,0.33844827,1.4591261,1.5148614,0.47281278,0.16205668,0.061345655,0.87051426,0.25470659,0.030737212,0.59149432,2.0747303,0.27662835,0.76755714,0.23784372,1.2024065,0.8299128,1.1788203,0.045255098,0.72055633,0.2529191,0.81351554,0.60061875,0.598626,0.56086186,1.5092852,0.53808898,1.1164165,-0.20611645,0.52859903,-0.1216129,1.6988537,0.60252552,-0.25736539,1.3711557,-2.0121471,-0.6929967,-1.2506501,-1.5159001,0.91041533,1.2325179,0.042861898,-0.30042565,-0.054866989,0.18675727,-0.063324597,-1.022912,0.5305457,0.08484703,-0.80422445,-1.2699008,-0.34878283,0.93428259,-1.0765274,-0.46832316,0.22984307,-1.7286296,-0.59807399,1.1252758,0.017010587,-0.55985539,0.39872242,-0.4039622,-0.55029394,-1.0387563,-0.67827191,-1.8273119,0.35290635,0.56899984,-0.47737545,0.12130137,-1.3955816,-1.4116625,0.012131849,0.58143748,1.3027483,-0.33846563,0.98190447,0.46225165,-0.19512622,0.82538395,1.21273,1.1393691,-0.56591677,0.30734925,-0.53379868,-0.7378345,0.048288201,-0.56976571,0.43485813,0.31881914,0.25200267,-0.56686725,0.0056120341,0.78600174,-0.98630065,-0.31348177,1.6457555,-0.44855214,-0.47030468,-0.56777732,-0.31438975,-2.4280993,-0.57426565,-0.84199905,-0.34460909,0.11813532,-0.265422,0.94686676,-1.1890743,1.3377745,-0.70082567,1.1612729,-1.5674229,1.3130955,-0.5510702,0.37553866,-1.9552801,0.73094444,-0.95855038,0.55163806,0.5302559,-0.82913043,-1.3386013,-0.55912701,0.81766425,-1.4434256,0.20499399
-108.2671,0.99096621,0.065136409,6,63,0,142.1956,1.1138936,-2.4125408,2.1016751,0.076407015,0.63137602,1.612686,0.47296363,2.544095,0.12838714,0.55535237,2.1817669,0.94738372,0.8975791,0.63317153,0.065508339,0.48663381,1.7946337,0.34219079,2.0433423,1.1556164,1.4347603,0.99184533,0.91726868,0.22790236,0.96886852,0.18495424,0.65559994,2.1299145,0.19597306,1.2642345,0.38572722,0.289778,2.0480692,0.8552377,0.42099329,2.8192469,1.4456311,0.46360356,1.4307039,1.322002,0.73415161,0.5654095,0.76834709,0.63118134,0.38931051,0.60496142,0.71475421,0.52845413,0.50290065,1.3527582,0.27352316,1.5810343,0.38967915,0.90519611,0.45332565,2.3146466,-0.14071884,0.69911925,0.61134346,-0.66215478,0.94662905,-0.19774097,-2.3907212,1.435937,1.3722821,1.416972,1.6467261,-0.79499502,-0.66385345,-0.71257014,0.54494461,0.92700231,1.5874534,-2.8571991,-1.225891,-1.1554277,1.6334242,-0.22330408,-0.6766986,-2.0731169,-1.6161749,0.5051275,1.2618596,-0.15456991,-1.2315778,-0.11679547,0.2576376,-0.082427609,-0.49083891,0.50655401,-1.2959594,0.59623563,0.56082311,1.0929256,1.9909061,0.12276048,-0.43665049,0.77176236,0.26091726,0.6511858,1.6322233,1.1613242,0.47603214,-2.2103171,-1.7709634,0.50416583,-0.15597636,0.47625759,-0.21339973,-0.54608851,-0.85121836,1.565455,0.29086716,1.7444098,-0.93730217,0.51095448,-0.94656563,0.11747545,-0.96420598,-0.98265547,0.012751779,0.92683586,-0.79822261,0.12929513,0.9233781,0.80016634,-1.8851565,-0.39238754,-0.33631978,0.92048119,0.80550444,0.37896249,-2.4362625,-0.68455509,0.41340459,-0.36689598,0.58357566,-0.2118458,2.4614171,-0.0059008069,-0.42082173,-1.4163533,1.3688615,-0.87063733,1.4868342,0.43641512,-0.97604687,0.23192243,0.19124992,-0.076840203,-1.2452675,1.0359992
-115.48737,0.92962829,0.065136409,6,63,0,136.66698,-0.97620558,1.3104306,-0.80256678,1.0539359,0.48113323,0.59229736,0.20991591,0.046875075,0.071584977,0.63630519,0.37893468,1.0306426,1.1092855,0.39518417,1.6292103,1.2168433,0.22886965,0.49182804,0.63253651,1.1403197,0.56219833,0.11122187,0.23092753,0.49032784,0.82245574,0.20533417,0.22103729,1.4203757,2.0522571,0.11959853,0.74816417,1.0136294,0.10622417,0.18607273,0.55943137,1.241462,0.077455179,0.80234601,0.040366459,1.2621286,0.75517992,0.089006102,0.038596986,0.034810693,0.75363005,0.15338289,0.49450393,0.49705418,0.19251428,0.70531281,0.23186235,1.1253628,0.77470193,1.3708622,0.43358059,0.98678686,1.1602524,1.5146495,1.322087,0.53677595,-0.46711515,-0.38851652,0.016348246,0.64976093,1.5688883,1.4427178,-0.30284531,-0.4172163,0.90542472,0.93343217,-0.16465693,0.30369035,1.205509,-0.92932556,-0.57799134,-0.051901757,0.61530895,-0.058078394,-0.43397186,-0.64578062,-1.6710753,0.0098545612,0.60986228,1.2995841,-0.49538648,0.21864553,0.097226163,0.42954985,-0.76008589,-0.0085954741,-0.64917307,-0.11265098,-0.51372689,0.1054722,0.16065575,-0.64790908,-0.38225504,-1.2023602,-0.22977266,0.072277924,0.62818852,0.3225195,0.57972239,-0.60082935,0.6225773,0.16797213,1.1271972,-0.7610729,-0.097884175,-0.8334619,-0.36117573,0.34285958,-0.86054134,0.9768389,-1.3006318,-0.43098944,-0.43695583,0.21202989,0.018016585,-0.79364135,0.2502399,-0.22666099,-0.69024762,-0.14659684,0.3388305,-0.85179753,-1.7822598,0.065767217,0.0479874,-0.64370863,0.91757257,0.46824301,-0.26583787,-0.67118357,0.50359873,-2.450959,-0.36047844,-0.32095705,1.0337357,-0.58214963,-0.58793427,-0.89917704,0.45648833,-1.1697078,1.0239153,0.55059251,-0.33155538,-0.5349992,-0.089673417,0.12670689,-1.1261358,-1.1954088
