# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_matchup_specific_model
# start_datetime = 2025-10-27 16:25:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 50
#     num_warmup = 50
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmpzv57iotc/i5_nx5_8.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/harrisgordon/Documents/Development/Python/sports/Basketball/lineupOptimizer/stan_model_results/bayesian_model_k8_matchup_specific-20251027122531.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8_matchup_specific.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0.1,beta_0.2,beta_0.3,beta_off.1.1,beta_off.2.1,beta_off.3.1,beta_off.1.2,beta_off.2.2,beta_off.3.2,beta_off.1.3,beta_off.2.3,beta_off.3.3,beta_off.1.4,beta_off.2.4,beta_off.3.4,beta_off.1.5,beta_off.2.5,beta_off.3.5,beta_off.1.6,beta_off.2.6,beta_off.3.6,beta_off.1.7,beta_off.2.7,beta_off.3.7,beta_off.1.8,beta_off.2.8,beta_off.3.8,beta_def.1.1,beta_def.2.1,beta_def.3.1,beta_def.1.2,beta_def.2.2,beta_def.3.2,beta_def.1.3,beta_def.2.3,beta_def.3.3,beta_def.1.4,beta_def.2.4,beta_def.3.4,beta_def.1.5,beta_def.2.5,beta_def.3.5,beta_def.1.6,beta_def.2.6,beta_def.3.6,beta_def.1.7,beta_def.2.7,beta_def.3.7,beta_def.1.8,beta_def.2.8,beta_def.3.8,sigma,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,y_pred.41,y_pred.42,y_pred.43,y_pred.44,y_pred.45,y_pred.46,y_pred.47,y_pred.48,y_pred.49,y_pred.50,y_pred.51,y_pred.52,y_pred.53,y_pred.54,y_pred.55,y_pred.56,y_pred.57,y_pred.58,y_pred.59,y_pred.60,y_pred.61,y_pred.62,y_pred.63,y_pred.64,y_pred.65,y_pred.66,y_pred.67,y_pred.68,y_pred.69,y_pred.70,y_pred.71,y_pred.72,y_pred.73,y_pred.74,y_pred.75,y_pred.76,y_pred.77,y_pred.78,y_pred.79,y_pred.80,y_pred.81,y_pred.82,y_pred.83,y_pred.84,y_pred.85,y_pred.86,y_pred.87,y_pred.88,y_pred.89,y_pred.90,y_pred.91,y_pred.92,y_pred.93,y_pred.94,y_pred.95,y_pred.96,y_pred.97,y_pred.98,y_pred.99,y_pred.100
# Adaptation terminated
# Step size = 0.0536576
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-102.41301,0.94825653,0.053657574,6,63,0,125.23523,-1.4077268,0.098581107,-1.3948411,0.11426337,1.1340217,0.69081503,0.99048344,1.4271923,1.6933049,1.0911522,0.1622426,0.29409907,1.5432824,0.38591573,1.6322177,0.73251421,0.95818912,0.42154686,1.293801,0.5210324,2.1464381,1.3569773,0.24340643,0.20963972,0.22722461,0.30106898,0.45982087,0.59239219,0.67272966,0.60878275,1.0988007,0.99242767,0.58323428,0.76242591,0.25148865,1.0771473,1.9233701,0.70268521,0.0052328391,0.60694442,0.097708287,0.081209616,0.010168771,0.27183454,0.84244106,0.28151145,1.6181483,0.39422214,0.50253975,0.86554376,1.3883243,1.1067964,0.86060878,-1.9995712,1.3961745,-0.70104824,-0.69512519,-0.56488401,0.23041288,-0.68722092,-0.52820265,0.54914391,-0.23099289,-1.8941208,0.44855353,0.13624279,-0.2092707,0.77548186,-0.76585921,-0.30726614,-1.4254369,-1.0718286,0.54024878,-0.47818119,-2.5321344,0.73728753,1.3465564,-0.51946727,0.31510135,0.28595326,-0.16112245,-1.0154206,1.4484611,-0.022506458,-0.40263396,-2.163893,-0.12362386,2.2672732,-0.35592525,0.11266279,-0.020130358,-0.16322233,0.11428367,-0.55886829,-0.36961187,0.27193546,-0.15439423,-1.4308677,0.022081729,-0.37433867,-0.18315379,0.75815278,1.3872031,-0.38266358,-2.1161686,0.26958952,0.24205739,0.98944558,0.74147865,0.096657339,-2.5791564,-0.88832426,-0.41319497,0.11768798,0.056629802,-0.30980323,1.3643256,-1.146166,0.2271734,-0.39510554,-0.079167695,-0.099729228,-1.0701574,-1.8361987,-0.32628912,-0.90604921,-0.39840867,0.1468838,0.66045033,0.35807914,-0.23625142,-0.27286242,0.12042769,-0.37666431,-1.3230751,0.59293756,0.50117538,-0.2788364,-0.99848702,-0.73264707,-0.39272397,-1.7008047,-0.68473072,-0.74398803,-0.0036039877,0.28591097,-1.6879682,-0.082240576,-0.39910898,-1.4732642,-1.5850792,-0.027929908
-96.816603,0.97682254,0.053657574,6,63,0,119.27378,0.85261132,0.19986702,-1.1404325,0.78175368,0.74277988,0.4393484,1.0250818,1.2746114,0.35459605,0.24132616,0.26159867,0.54834597,0.12025862,0.9985762,0.32643851,0.33134657,1.5405308,0.095913515,0.89288724,1.5647687,0.54239175,1.8447241,0.52650525,0.85103984,1.4677481,2.0507978,0.6066376,0.21223835,1.5211049,0.35802472,1.5443564,1.0397699,0.46880615,0.57185444,1.1609471,0.11597167,2.1348079,0.50450949,0.048950828,0.90511936,3.3352366,0.13296335,0.042423556,0.6375475,0.37121533,2.3129296,1.0625724,0.53797301,0.37826625,1.1962359,0.17135008,1.2754645,1.8359539,-0.67927649,-0.2665568,0.83887978,0.38725391,-1.2224461,2.0744806,-1.8595567,-0.62923291,0.066620056,-0.21374977,-2.6950385,-0.63260591,0.81166879,0.4236984,-0.10241405,-0.52660889,0.61368568,-0.44319195,-1.2606008,-0.12948124,-0.67847265,-0.73673943,1.6031371,-0.44998,0.040623711,-0.12706288,-0.15849266,-0.53537094,-1.1836208,1.504761,1.7410521,-0.17721232,-0.68957696,0.40846568,-0.10611877,-1.0971795,-0.16739507,1.0391685,-0.11680232,0.25159126,-2.4449663,-0.038929623,0.17531657,-0.92160851,0.3664859,-0.046257754,-0.068574626,-0.30494329,-0.21094744,-0.09870456,0.32863467,-0.82234807,-0.38563178,-1.5956362,0.55714739,-0.83152831,0.8707032,-3.6206082,-0.80648298,-0.38056274,0.78196411,2.1744227,-0.16641989,0.13595,0.36550733,0.020067529,-0.35403185,-0.11285443,1.4775268,-1.315351,-0.37979588,-0.31827612,-1.0351112,-1.5572326,0.2441051,2.4341077,-0.52483879,-0.71775823,0.94720746,0.31222254,0.31469332,-0.81491413,0.58089579,0.28465995,1.077982,-2.961112,1.5396661,-0.90833755,0.29986986,-1.1536746,-0.89078373,0.00024522407,0.59966608,-1.7687008,-0.83208913,-0.72012619,-0.23430892,-0.63699493,-0.37263319
-105.88556,0.93648339,0.053657574,6,63,0,128.22839,-0.21690876,0.029846959,-0.51892611,0.032861167,1.5348477,0.1549503,0.84018791,0.20576889,0.44928236,0.039520586,0.218107,0.27698834,0.7825362,0.14784026,1.5334425,0.76703613,2.1287888,0.75786021,0.25385433,1.0820925,1.7348382,0.95627481,0.59498987,0.24732385,0.16855485,0.39528963,0.41461648,0.63921437,0.50596711,0.21647631,1.1278193,0.54395306,0.080291055,0.25118471,0.4332713,0.77217034,1.1063164,0.18772938,0.42087881,0.82908781,2.6569518,0.31813426,0.0083330261,0.41734242,1.0576492,0.42811067,0.50476709,0.45418236,0.028203914,0.84821147,1.2503607,1.039994,1.6746724,-1.3173184,1.1987997,-0.84529486,-0.79252118,-0.30865377,0.14020091,-0.54467954,-0.96303568,0.85542668,-0.586767,-0.052249264,0.34618198,1.0035201,-0.49918604,0.66087402,-0.29250059,-0.30650922,-0.95817437,-0.48060046,0.36731526,-1.1272611,-1.8428998,1.4880471,0.34814425,-0.34436178,-0.29525557,-0.057278941,-0.11340733,-0.85670361,0.19721652,0.20015372,-0.59858415,-1.2047694,0.18145666,1.9274154,-0.57228453,0.49226499,1.5188049,-0.39081984,-0.52324786,-0.88915665,0.20214079,0.8238985,0.15433855,-0.67211436,-0.18424813,-0.69191429,-0.21544603,0.73710354,0.95569587,-0.10618818,-1.1771497,0.15560066,0.27196966,0.4947567,0.59032242,0.77354275,-1.6706561,-0.69270095,0.15782988,0.0062096982,-0.11755507,-0.95275501,1.3587309,-1.312119,0.2835337,-0.61420593,-0.05804232,-0.1523966,-1.0936416,-1.6354892,-0.27832702,-0.93926833,-0.336471,-0.10715572,0.36358128,0.42722813,-0.71676674,-0.11350543,1.0904912,0.34420963,0.085520219,0.26685447,1.7959556,1.5660558,-1.0897867,-0.40608657,0.072022703,-0.69750261,-0.61859404,-0.16987185,-0.36430487,0.21235024,-1.8302257,1.1271186,-1.0132273,-0.66837796,-1.1784198,-0.2024295
-108.11902,0.97032552,0.053657574,6,63,0,139.70708,1.1242381,-0.48141742,-0.33144311,0.05013425,1.0373428,0.1404094,0.89216027,0.15508196,1.2267371,0.042777321,1.4972233,0.70724419,0.69421598,0.97574698,0.30833284,0.48139128,1.8586807,0.1394829,0.39042814,1.5878251,0.30359327,1.6368827,0.78534957,1.1122756,0.021567573,1.1907745,0.13885742,0.10794889,0.52091591,1.707413,1.1877755,1.6211012,0.009146836,0.53475365,0.045126247,0.6006858,2.6993883,1.2328585,0.069805202,0.75998441,1.4286584,1.1801773,0.034745295,0.56851509,0.23698565,2.2371576,0.72366897,0.25885011,0.056811332,1.359302,0.32494313,1.2605061,2.3009342,-1.3871746,-0.06565813,-0.1155644,-0.35482099,-1.2141154,0.13465453,-1.3277046,-0.22493787,-0.83698473,-0.3293243,-1.3007991,-0.092684856,2.2630456,-0.23040749,0.074183261,0.57620277,0.10403228,-1.0663007,-0.45890041,-0.21094552,-1.1204874,-1.0158131,2.23211,-0.70768994,0.99281553,-1.3748273,0.19170465,-0.31353375,-1.2152348,0.73624961,1.2371887,-0.93070644,-0.77299899,-0.076134588,0.38981508,-1.0443802,-0.058520742,0.43411954,-0.26241812,-0.25054857,-0.92857001,-0.9507181,0.68282361,-1.1241769,-1.1411068,-0.50272326,-1.3782259,-0.59210679,-0.16442033,-0.72635878,-0.18884557,-1.8543378,-0.34820503,0.69305863,0.19103473,-0.62804215,0.23904658,-3.0403337,-0.78828475,-0.63041368,0.11738994,1.1974108,-1.2545121,0.49603926,-0.15703343,-1.1529577,0.69005582,-0.90543196,0.13570252,-0.51947645,-0.41341003,0.10719829,-1.1979382,0.47625826,0.095576397,1.3309532,0.6754375,0.79761255,-0.24155653,1.6993625,-0.73844179,-1.2934001,0.90134314,0.15863869,1.1807299,-1.1279105,0.48092353,-1.7493284,-0.95487746,0.055712411,0.17996194,-0.55606807,1.2616415,-1.4659221,0.18884422,-1.5020711,-0.91351437,-1.006692,-0.38018314
-107.61003,0.98679083,0.053657574,6,63,0,142.95246,0.063302575,-0.58187166,-0.19356824,0.26981656,0.59462246,0.78431936,1.3666036,1.3954991,0.87718412,0.25191331,2.0916549,0.32853291,0.33319749,0.14344008,0.62099518,0.79485532,3.4374646,0.51606351,1.1691054,0.96286775,0.33876922,1.6247691,0.23636693,0.00067425686,0.012094751,0.39016349,0.24781097,0.22241941,1.2126653,0.21656456,0.76535734,1.8375532,0.0085672017,1.1424993,0.010584071,0.65009898,0.89604949,0.011537714,0.18989935,0.46608684,1.4731679,0.25491449,0.41714464,1.2482801,0.93017851,1.3069786,1.391984,0.82378531,0.24005091,0.60190997,0.36703224,1.237334,1.9772146,-1.2909882,0.67483621,-0.32826909,-0.72919839,0.38306712,1.7885275,-1.3150563,0.27896401,-0.50301964,-0.098367539,-1.5773944,0.56959704,0.24801441,-0.13579129,-0.27800558,-1.5263165,0.41001206,-0.40025382,-0.5521771,-0.48861132,-0.078444596,-1.2367918,1.6959149,0.58673619,0.40425585,0.85027508,0.11692705,0.12623847,-0.33226925,1.7281678,1.3997881,0.31110882,-0.24274287,-0.71323962,1.1127084,-0.41156976,0.54999545,-0.35448812,-0.54100472,0.06206072,1.2891082,0.49989581,0.42960116,-0.13730257,-0.31886174,-0.96442207,0.46807671,-0.29618062,0.86058562,0.39762394,0.83633888,-0.66987257,-0.065460214,0.34220784,-0.6905916,0.30992865,-0.332105,-1.366169,-0.47707526,0.12108436,0.42480909,1.3537058,-0.41423163,0.63376778,0.33406252,0.78463963,0.09887284,0.65533762,0.72486894,-0.52685118,-1.394237,0.78116785,-0.18627646,-0.35671346,0.29571595,1.1502507,0.53215723,-0.29219228,-0.93063901,0.72020007,0.74202507,-1.8001872,1.4495243,1.0439491,0.80840559,-0.67122097,0.89447448,0.051385328,-0.05913629,0.045859308,-1.291588,0.12945537,-0.11300238,-1.014884,1.4593782,0.18884797,0.1443404,-0.68128957,0.074634504
-113.90529,0.98338929,0.053657574,6,63,0,128.42112,0.39910618,0.22264697,-0.59851468,1.0729947,0.84980474,0.85944705,0.56973782,1.6624545,0.39311621,0.74002972,1.5525832,0.18038734,0.57720076,0.036657944,0.43689328,0.4055097,1.5577158,0.31769794,0.68479015,0.84065595,0.43128211,1.039651,0.14742014,0.0012260866,0.0033687071,0.70012893,0.22444771,0.52593972,2.3709907,0.56050409,2.3705633,0.31296651,0.0077468135,0.62424487,0.019258129,0.34701248,1.2253144,0.015831374,0.10022105,0.25219123,3.0886835,0.31823377,0.59975212,0.48382998,0.7839271,1.517313,0.81554847,0.50303878,0.21668681,0.38787837,0.62404759,1.2681691,0.41576605,-1.8124945,-0.37770682,-0.21105057,-0.63260301,-1.16648,0.36495952,-0.53915751,-0.56543359,-0.96619487,-0.92099062,-0.92255635,-0.32160781,1.0668475,-1.3161655,-0.6500857,-1.3360868,0.11615506,-1.2013667,-0.4629297,-0.74297299,-0.64913752,-1.608241,1.0296741,-0.2473221,-0.44869837,-0.91429294,-0.8690816,-0.52395534,-1.8914256,1.3704723,1.1960855,0.91650703,-0.85894413,0.23034895,-0.06248019,-0.98365769,-0.19240898,0.43463449,0.98192502,0.7028284,-0.94361758,-0.67220075,-0.37651411,-0.72693592,-1.7163201,-1.5289496,-0.92391018,-0.55920781,-0.278918,-0.80883208,-0.93799166,-1.268231,-0.54109098,-1.5518271,1.0358347,-0.20948338,0.67843961,-3.4732534,-0.81116281,-0.92780301,0.49816272,-0.27319967,-0.45787344,0.036863313,-0.83753121,-0.47859017,-0.73803212,-0.6179557,1.1341391,-1.3814057,-1.5710441,1.4397384,-1.0376282,-0.88303017,-0.8315681,0.92739041,1.0987288,-0.22180692,1.6023099,0.57981183,-0.050002313,0.34918998,0.87968789,0.67104609,1.5996968,-1.4077712,0.12381571,-0.76135112,-1.8132242,-1.3766885,-0.80231126,-0.28323902,-0.023900724,-1.4545445,0.90248152,-1.3769226,-0.52865918,-1.324505,-0.99701568
