# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_matchup_specific_model
# start_datetime = 2025-10-27 16:26:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 50
#     num_warmup = 50
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmpsthq21pu/o_2iv47k.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/harrisgordon/Documents/Development/Python/sports/Basketball/lineupOptimizer/stan_model_results/bayesian_model_k8_matchup_specific-20251027122606.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8_matchup_specific.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0.1,beta_0.2,beta_0.3,beta_off.1.1,beta_off.2.1,beta_off.3.1,beta_off.1.2,beta_off.2.2,beta_off.3.2,beta_off.1.3,beta_off.2.3,beta_off.3.3,beta_off.1.4,beta_off.2.4,beta_off.3.4,beta_off.1.5,beta_off.2.5,beta_off.3.5,beta_off.1.6,beta_off.2.6,beta_off.3.6,beta_off.1.7,beta_off.2.7,beta_off.3.7,beta_off.1.8,beta_off.2.8,beta_off.3.8,beta_def.1.1,beta_def.2.1,beta_def.3.1,beta_def.1.2,beta_def.2.2,beta_def.3.2,beta_def.1.3,beta_def.2.3,beta_def.3.3,beta_def.1.4,beta_def.2.4,beta_def.3.4,beta_def.1.5,beta_def.2.5,beta_def.3.5,beta_def.1.6,beta_def.2.6,beta_def.3.6,beta_def.1.7,beta_def.2.7,beta_def.3.7,beta_def.1.8,beta_def.2.8,beta_def.3.8,sigma,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,y_pred.41,y_pred.42,y_pred.43,y_pred.44,y_pred.45,y_pred.46,y_pred.47,y_pred.48,y_pred.49,y_pred.50,y_pred.51,y_pred.52,y_pred.53,y_pred.54,y_pred.55,y_pred.56,y_pred.57,y_pred.58,y_pred.59,y_pred.60,y_pred.61,y_pred.62,y_pred.63,y_pred.64,y_pred.65,y_pred.66,y_pred.67,y_pred.68,y_pred.69,y_pred.70,y_pred.71,y_pred.72,y_pred.73,y_pred.74,y_pred.75,y_pred.76,y_pred.77,y_pred.78,y_pred.79,y_pred.80,y_pred.81,y_pred.82,y_pred.83,y_pred.84,y_pred.85,y_pred.86,y_pred.87,y_pred.88,y_pred.89,y_pred.90,y_pred.91,y_pred.92,y_pred.93,y_pred.94,y_pred.95,y_pred.96,y_pred.97,y_pred.98,y_pred.99,y_pred.100
# Adaptation terminated
# Step size = 0.0608468
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-125.58137,0.97894061,0.060846789,6,63,0,162.88852,0.09594412,-0.28257798,-1.0006007,1.0330174,0.79491634,0.21335746,0.78268376,0.4811947,0.61433662,0.49896214,0.041966137,1.1137878,0.8092921,0.82038588,1.2548709,0.72482314,0.15717164,0.11243595,0.64741326,1.0492118,0.75508027,0.25921127,1.3162234,0.38171392,0.42505241,0.029844736,0.095992343,0.37691004,1.0079315,0.010110042,0.50803054,1.027982,0.46403359,0.43908623,0.48607749,0.58323655,1.2062664,0.092818836,0.0052543125,0.43776719,0.83258728,0.32916963,0.72955473,0.063208461,0.610632,0.63454988,0.020056768,0.42677923,0.78554852,0.69088782,0.47544746,1.2401628,-0.14536721,-0.59929204,0.61485277,1.4948866,-0.29063562,-0.95634998,-0.81825069,0.38572176,-0.69682296,0.86309713,-0.063750546,-0.28087106,0.2311079,0.38648263,1.0499042,-0.58956496,-0.19806769,0.043207985,0.89335158,1.5333224,-0.14828659,0.53304911,0.58766783,-0.08608844,-0.53696256,0.24545958,-1.1256281,-0.045148907,-0.91601661,-0.84948017,-0.98944283,0.16572759,1.2406419,0.54679699,1.4363967,0.65373287,-0.26046954,1.5269999,-0.2375163,0.086839577,-0.36249765,-0.32103133,-0.96271441,0.14585558,-0.22021394,0.84352876,0.11082332,-0.89584773,-0.50601212,-0.7161579,-0.49110444,-0.58573363,0.36766932,-0.07309302,0.46704461,0.50023611,0.18627488,-1.3315357,-0.32569646,0.34366199,0.51588055,0.95088819,0.46238538,1.3090769,-0.67454941,-0.42520051,0.0064422486,-0.40632179,-0.76423656,-0.3228286,0.43479952,1.0570227,-0.21361082,0.20145428,-0.97046446,0.61283264,-1.214343,0.42452898,-0.76524464,0.7120854,-0.34837497,-0.26124988,-1.4274455,-0.19582192,-0.18967479,0.26992194,0.69054582,-0.10156065,0.76442107,0.31307266,0.8930265,-0.12552269,-0.54962746,0.41379954,-0.89757789,0.31612391,-0.11998402,1.0373527,0.037433185,-0.15412976
-122.57258,0.98284006,0.060846789,6,63,0,150.4459,-0.44902449,0.7077487,0.3313788,0.47086959,0.29089858,0.1915115,0.40397093,0.26285508,0.21954535,0.26753227,1.4053044,0.13652016,0.15593929,0.45773175,0.34650349,0.30840581,0.8873773,0.30065553,0.35418743,0.095407626,0.42972902,0.45079925,0.49446739,0.7318875,0.88511632,0.38840545,0.45764254,0.12551265,0.69590189,1.9105455,1.2959752,0.19487878,0.49852897,0.12643649,0.57455168,0.2636882,0.19877763,0.67380103,0.062228926,0.13184583,0.66585423,0.35348841,0.13970194,0.83862667,0.1079652,0.29544939,1.685989,0.54916493,0.59557347,0.64240041,0.34872091,1.0381258,-0.95603821,-1.3650846,-0.40583015,1.0039564,0.064904131,-0.5548479,-2.0192907,-0.88120852,-0.70948851,-0.24641865,-0.7651576,-0.63141052,-1.0476689,-0.27586782,-0.1000668,-0.51678068,-0.16017936,-0.26763323,0.51864101,1.2660869,-0.34366415,-0.45938633,-0.10074161,0.05575153,-0.78635718,-0.13711243,-1.643801,0.29688421,-1.284386,0.19472718,-1.6216886,1.0004906,0.78610691,0.19075345,0.61269037,0.38967346,0.051998808,0.63590843,-1.2448248,0.10356252,0.18804318,0.81647737,-1.4770649,0.093569041,0.57625211,-0.31923132,0.47486436,-0.77053138,0.38472358,0.10999433,-0.91689268,-1.5016534,0.053546875,0.41058295,0.024758367,-0.011949458,-0.010172821,-1.4946143,0.30744592,-0.37017562,-0.026705226,0.21997813,1.3467308,0.40538095,-0.76228071,-0.53473605,-0.11401292,-0.13398543,-0.76261317,0.16950027,0.20921227,-0.10304269,-0.75493542,-0.92911784,0.42599531,-0.84360753,-1.6789964,1.1262908,0.44667856,-0.44895679,-0.051953229,-1.0111445,-0.68827251,-0.50099199,-0.48350204,0.38323083,0.68726809,-0.095827162,-0.295276,0.39218705,0.50866546,-0.60369041,0.62422981,-0.39714179,0.040789509,0.18542613,0.44643586,-0.29087532,0.05417452,-0.33673381
-115.58221,0.9954624,0.060846789,6,63,0,142.24873,-0.53804625,0.29588097,-0.4326197,0.85932879,0.4200319,0.11478436,0.6400014,1.0255505,0.40764734,0.41639287,0.88087271,0.6069805,0.13105951,1.769039,0.71506162,0.3618933,0.79069971,0.51409882,0.27618072,0.50436171,0.24280297,0.54350648,1.0984624,0.28624244,0.45739242,0.35838568,0.61255671,0.11485156,0.64757077,0.52914725,0.70253586,0.35540197,0.66294214,0.23285547,1.0793733,0.55933562,0.29376912,0.49238096,0.20115557,0.083856471,1.8695822,0.12320941,0.13186852,0.68531691,0.11220246,0.4080045,0.54537696,0.72648257,0.87793673,1.0081836,0.77801905,1.0563309,-0.65920556,-1.1945573,-0.69081252,1.3073633,-0.015421472,-0.89358913,-0.33090223,-0.46896114,-0.75220855,-0.089854555,0.4636885,-0.46871581,0.0013540712,-0.35940679,0.14410408,-0.32393316,-0.27388455,-0.11749885,2.4814482,1.0716686,0.16123685,-0.1838095,0.28511509,-0.57379403,-0.64264533,-0.18848998,-0.95401082,-0.043133773,-0.75760665,-0.31567959,-1.289204,1.073298,1.9464586,0.39787492,0.53124241,0.052673921,-0.077133157,1.8047092,-0.70498917,0.0011575787,-0.063550935,0.24024343,-1.3944035,0.38098691,0.32552168,-0.18239143,0.93508615,-0.64545487,-0.42599968,-0.57515036,-1.1674054,-1.1874338,-0.062669465,0.52043198,0.19882814,-0.18141963,-0.052158689,-1.3092192,-0.030875479,-0.83247988,0.37461069,0.12065891,1.8904121,0.66507635,-0.12797536,-0.5695959,-0.080466889,0.35112132,-0.73948819,0.9498518,0.25054407,0.10063039,-0.90733618,0.60487892,-0.40016175,0.44248702,-1.1981914,0.34177454,-0.46923213,0.00062510622,-0.31865554,-0.78918287,-1.2295639,-0.18067575,0.0023273164,0.42657408,0.20193286,-0.29778762,-0.12626331,0.053569753,0.31365369,-0.33313558,-0.2483762,-0.24014581,0.017569908,1.0269838,0.2616061,0.10050669,-0.35182966,-0.56622907
-116.60861,0.92770412,0.060846789,6,63,0,133.34598,-0.95920372,0.45550175,-0.24771645,0.38023166,1.176594,0.34897364,0.40391182,0.14574513,0.20429745,0.96476144,0.22777979,0.42888645,0.83137992,0.076000613,0.50625997,1.0343342,0.15031503,0.20461035,0.55418864,0.12042311,0.77340869,0.46767637,0.25597177,0.95465948,0.8491852,0.99967104,0.18357134,0.74814708,0.99215882,0.17471478,0.78194579,0.89726748,0.44430965,0.47633799,0.25647489,0.39592817,0.28805468,0.24035226,0.48265441,1.0305296,0.39083273,0.56627697,0.33983367,0.24937002,0.69857411,0.15314333,0.57483407,0.61958701,0.31152399,0.21185171,0.67228054,0.95906063,-1.0596301,-1.0310466,-0.0746613,0.67852324,0.33274745,-0.93445687,-1.247089,-0.36211155,-0.5089094,-0.093377405,0.46313662,-0.21399471,-0.14660468,-0.37144174,0.59249686,-0.50656346,-0.85199688,0.20019549,0.45961276,2.2278006,0.18957066,1.0016211,-0.083272487,-0.25382192,-0.25390924,-0.43693996,-0.62365053,-0.36889296,-1.4301697,-0.63002755,-1.6270516,0.39227923,0.3367747,0.44903263,0.96319336,0.33533742,0.28167347,0.44229189,-1.1309696,-0.093096725,0.68437873,-0.36109777,-0.48887496,-0.63715633,-0.82794851,-0.03867212,0.084547332,-1.9174372,-0.15091563,0.61143025,-1.0722281,-0.83484247,0.44135492,0.10906257,-0.15241707,0.56513906,0.56807403,-1.3062043,-0.7627681,-0.077742667,0.09843588,0.88705766,0.92962121,0.1121788,-0.099387341,0.47346981,-0.25746099,0.27638544,-0.90071895,-0.42302347,-0.040222239,-0.15347103,-0.73448581,-0.067680872,-0.68187946,0.23692431,-1.9441412,0.30795257,-0.66073741,0.032574848,-0.83205595,-0.28438759,-1.2649903,-0.54361389,-1.0311344,-0.68584263,0.72900532,-0.12153423,0.01778283,-0.7567729,0.76909659,-0.54920339,-0.16211419,0.14072048,0.49904906,1.0517657,-0.45461777,0.47009153,-0.24821653,0.025070426
-121.31715,0.92269463,0.060846789,6,63,0,147.06988,-0.46313377,0.25017149,1.6921322,0.24715201,1.0607273,0.22526131,1.2611861,0.64316149,1.2348843,1.0585677,0.58214521,0.35831735,0.42185128,0.085980345,0.76915308,0.97710863,0.089398891,0.79300387,0.85727017,0.14155882,0.53690417,0.056031461,0.26752306,0.24104938,0.49703502,0.38072605,0.26688594,0.79465965,0.90314638,0.74639873,0.42784073,1.0956107,2.0884175,0.51012966,0.24398213,0.66451168,1.4096616,0.13643127,0.79562931,0.34721897,0.87286574,1.0091267,0.67279604,0.15408004,0.66235202,0.84635328,0.18885618,1.4957391,0.15116547,0.19796845,0.2068226,1.2034437,0.52227302,-0.53651132,0.097382182,1.1830539,-0.60823759,-1.2829059,-0.96863411,0.48464103,-0.53756521,0.79851632,0.52812684,-0.13781599,-0.27392693,1.2283208,0.28826003,-0.18064573,-0.11650855,-0.54534776,0.63251441,0.67674861,0.53430811,0.5554892,0.49516956,0.7266499,-0.2092503,0.23510514,-1.0957478,-0.88078734,-0.46442002,-0.71501999,-1.1676208,0.44769706,0.45727159,0.13508735,1.5611999,-0.5238631,-0.38593098,0.78931459,-0.096689026,0.14512424,0.21727752,1.2234988,-0.57254473,-0.4756615,-1.0636604,-0.086599141,-0.28885496,-1.9621548,-0.27980674,0.17165846,-1.5844745,-0.68523117,0.40825774,-0.11530359,0.1095743,0.38873233,0.70372212,-1.4586388,-1.2739858,-0.36489038,1.8432984,0.88346105,0.84032628,0.62504001,-0.56040356,1.1556592,-0.93283971,-0.055958397,-0.363384,0.047999224,1.2976982,0.60992929,-0.059767251,-0.59732233,0.811805,0.41709414,-1.2393397,1.6658861,0.053664701,-0.1374577,-0.3040991,-0.68557274,-0.47979387,0.064604927,-0.6494357,-0.79360249,-0.22442072,0.84345088,0.48377241,0.28041668,0.3566997,0.42022989,0.31113366,1.2043049,-0.076544862,0.62303444,0.83210325,0.26888117,-0.090894564,-0.30534403
-121.76856,0.95601914,0.060846789,6,63,0,153.02973,-0.10390875,0.47353425,0.75793911,0.20051664,0.66841862,0.080633154,0.70197141,0.38321712,0.30011449,0.95036428,1.4408954,0.81589669,0.39548564,0.089929981,1.1601758,1.1797699,0.06125955,0.19499857,0.35742779,0.28142307,1.0794972,0.14827652,0.060494237,0.23619944,0.29877825,0.33506283,0.16152676,0.80049084,0.7000065,0.89849186,0.10749325,0.42727316,0.24224429,0.50447339,1.153688,1.3894708,0.29504225,0.30105717,0.66477264,0.52179692,0.92688286,0.66594416,1.2424181,0.74024636,0.63254817,0.32033675,0.19631659,1.0176518,0.17419621,0.28683526,0.28264273,1.1260421,0.12359237,-0.6156003,-0.0053129988,0.64551537,0.024737357,-1.0923641,-1.1459152,0.7880908,0.092824612,0.24201387,-0.62837343,-0.099654978,-0.89767713,-0.28207499,0.79190784,-0.81912836,0.2094037,0.43435044,1.0692221,1.7808608,0.12627269,0.10417947,0.46183448,-0.098232097,-0.44215036,0.2074517,-1.6445801,-0.7658785,-1.5575838,-0.33703321,-1.7878856,0.40190835,0.49965175,0.39034985,1.3880745,-0.47892619,-0.64756277,0.69337292,-0.028316836,0.16312178,0.41211372,0.48377208,-0.86008567,-0.27119317,-0.95237443,0.8694138,-0.3292303,-1.7852176,-0.61611052,0.86620414,-0.99282574,-1.8991803,0.77605146,-0.097323299,0.36046072,1.1059892,0.99335947,-1.5038133,-1.2031905,0.26294487,0.76234662,1.1677664,1.0298641,0.31740487,-0.81249439,0.023502822,0.053608753,-0.3522157,-0.86734054,0.47563144,0.76252274,0.19367074,-1.0107883,-1.2347047,-0.25262531,0.54935808,-0.97225746,0.94701673,-1.0780289,-0.04841262,-0.74606274,-1.1570272,-1.2161488,-0.25773271,-0.58266918,-0.48937234,0.34784977,0.97018051,-0.62972445,0.0044289462,0.16075299,0.13916383,-0.25880387,0.72649803,0.12004713,0.29558977,-0.91475643,0.8466545,0.14894147,-0.10174794
