# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = bayesian_model_k8_matchup_specific_model
# start_datetime = 2025-10-27 16:26:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 50
#     num_warmup = 50
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/pg/h43qtx4x58lgfqw9x7205wvc0000gn/T/tmpz19twdxb/oaq32k9b.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/harrisgordon/Documents/Development/Python/sports/Basketball/lineupOptimizer/stan_model_results/bayesian_model_k8_matchup_specific-20251027122612.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=bayesian_model_k8_matchup_specific.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0.1,beta_0.2,beta_0.3,beta_off.1.1,beta_off.2.1,beta_off.3.1,beta_off.1.2,beta_off.2.2,beta_off.3.2,beta_off.1.3,beta_off.2.3,beta_off.3.3,beta_off.1.4,beta_off.2.4,beta_off.3.4,beta_off.1.5,beta_off.2.5,beta_off.3.5,beta_off.1.6,beta_off.2.6,beta_off.3.6,beta_off.1.7,beta_off.2.7,beta_off.3.7,beta_off.1.8,beta_off.2.8,beta_off.3.8,beta_def.1.1,beta_def.2.1,beta_def.3.1,beta_def.1.2,beta_def.2.2,beta_def.3.2,beta_def.1.3,beta_def.2.3,beta_def.3.3,beta_def.1.4,beta_def.2.4,beta_def.3.4,beta_def.1.5,beta_def.2.5,beta_def.3.5,beta_def.1.6,beta_def.2.6,beta_def.3.6,beta_def.1.7,beta_def.2.7,beta_def.3.7,beta_def.1.8,beta_def.2.8,beta_def.3.8,sigma,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,y_pred.41,y_pred.42,y_pred.43,y_pred.44,y_pred.45,y_pred.46,y_pred.47,y_pred.48,y_pred.49,y_pred.50,y_pred.51,y_pred.52,y_pred.53,y_pred.54,y_pred.55,y_pred.56,y_pred.57,y_pred.58,y_pred.59,y_pred.60,y_pred.61,y_pred.62,y_pred.63,y_pred.64,y_pred.65,y_pred.66,y_pred.67,y_pred.68,y_pred.69,y_pred.70,y_pred.71,y_pred.72,y_pred.73,y_pred.74,y_pred.75,y_pred.76,y_pred.77,y_pred.78,y_pred.79,y_pred.80,y_pred.81,y_pred.82,y_pred.83,y_pred.84,y_pred.85,y_pred.86,y_pred.87,y_pred.88,y_pred.89,y_pred.90,y_pred.91,y_pred.92,y_pred.93,y_pred.94,y_pred.95,y_pred.96,y_pred.97,y_pred.98,y_pred.99,y_pred.100
# Adaptation terminated
# Step size = 0.0634105
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-137.64568,0.9341493,0.063410456,6,63,0,162.18224,1.1348084,-0.12374169,0.56997208,0.00019160646,1.1532184,0.5596754,0.18842821,1.2635495,0.045125574,0.087281919,0.25358158,0.011153043,0.096492716,0.78116096,1.1035925,0.023892418,0.083947509,0.099090287,0.17136449,0.53370734,0.14952823,0.10634667,0.061610659,0.68804091,0.40365037,0.47102536,0.8449072,0.78011105,0.65171122,1.3873838,0.15874517,0.39077388,0.026380137,0.25270857,1.4322735,1.4181102,0.13321262,0.25543051,0.55183368,0.31684763,0.82019958,0.33808671,0.14742731,0.57981656,0.1432749,0.58429067,0.12157089,0.42478516,0.76650356,0.57646244,0.37282259,1.0042407,-0.47848191,0.31204829,0.051502887,-0.97944191,-0.39910356,0.43069365,0.17028089,-0.89867569,-0.12051338,0.40729707,-0.23514051,1.1355413,-0.32610869,-0.66306988,0.026585929,-0.55125013,-0.73786646,0.4427584,0.059627998,-0.22068039,1.4447865,-0.14017471,0.60302171,0.37372347,0.48138334,-0.0079834623,0.34786507,-0.37442806,0.43534769,0.14124542,0.41419613,0.33574217,0.99180063,-0.19305541,1.0550786,-0.34432002,1.0731426,0.073539603,-0.66065898,-0.14189033,-0.24334311,0.0040199271,-1.6261621,-0.31079272,0.041391972,0.87235806,0.50090817,0.52577283,0.37166549,1.0426215,0.20728652,0.10459666,0.19742656,-0.87822501,-0.14394273,-0.35334579,-0.43688958,0.22267307,-0.49444553,-1.2981425,-0.98308169,-0.50164142,0.012739843,-0.028629683,-0.67246864,0.30406288,1.0409551,-0.96721004,-0.28627687,0.16102541,0.046228638,-0.18320045,-1.0499699,-0.64967605,0.018363068,0.28432462,-1.4274543,-0.021835214,-0.22213049,0.86613464,1.4796097,-0.24197217,-0.32569333,0.82667422,0.9910613,-0.6174997,-0.22735777,0.11975968,-0.78225508,0.038678525,-0.12884363,0.4137627,-0.42815619,-0.5461431,-1.2104938,0.35897399,-0.17689149,0.72477192,0.023251945,0.51400859
-138.78144,0.89406909,0.063410456,6,63,0,167.22433,1.6167263,-0.36523767,1.0115429,0.00069445731,0.52479627,0.46601621,0.99718021,0.15625989,0.050362547,0.0027160463,1.1459497,0.096803621,0.025771759,0.22169093,0.20336176,0.0073760646,0.75565689,1.9924918,0.90878743,0.43294401,0.27304852,0.72663134,1.3720443,0.57836676,0.7760002,0.51785483,0.18585958,0.77914761,0.59251831,0.11074684,1.0346005,0.50019667,0.022552121,0.92356892,0.77543998,0.075325659,0.56595886,0.87812681,2.0589475,1.2715605,0.2022926,0.61596579,0.28340674,0.21537974,1.2068524,0.29205511,0.0090307759,0.57297775,0.010647044,0.81539822,0.98935852,0.98637485,-1.1325478,0.31273051,1.1572926,0.12161703,-0.34882246,0.25456827,1.4692341,-0.5471448,0.10382034,1.606523,-0.11445333,-0.69912726,-1.0548999,0.55988298,0.072619372,1.2209014,-0.0088533814,-1.4237027,1.4459599,-0.46366804,-0.053075756,1.0247268,1.1294323,1.0022741,0.86490908,0.85960315,2.0974368,0.075858644,0.89548699,1.3936196,1.2680615,0.69672983,1.8895774,-0.1107277,0.99406833,0.12726297,1.4455469,-0.54088865,-0.11391048,-0.03922743,0.54269959,0.072348187,-0.57441323,0.35056301,1.4497483,0.18087019,1.5750056,0.1287613,0.54487113,1.0019864,-0.59393084,0.87504287,1.2584092,-0.070716637,0.44187349,-0.36218361,0.36360985,0.45783298,-0.45849945,-0.15069648,-0.74653066,0.32133717,-0.54841321,0.36319267,0.10952559,0.51730386,1.0303193,-0.9448175,0.59766693,1.42225,1.4440225,-1.2040009,-0.5635976,0.97913173,0.9959893,0.12326619,-1.4116328,-0.13683161,-0.51078958,1.3938668,1.2596071,0.1063689,0.84057415,-0.44570595,1.4340948,0.15742237,-0.082002175,-0.20284333,-0.15474245,0.95540767,0.19699383,2.5126042,-0.78037669,-0.23049359,0.07807247,0.79893355,-0.20288494,-0.025814494,-0.31196176,1.4475358
-134.35814,0.90095367,0.063410456,6,63,0,169.1365,0.43029374,0.54865499,-1.435742,0.0012026833,1.0606615,0.71687192,0.28504208,0.48644575,0.91672608,0.19462178,0.26062285,0.053364886,0.30310282,0.0046325708,0.31970481,0.042536123,0.17924018,0.093241998,0.23737594,0.48373837,0.26607935,0.48162912,0.15601548,0.88309261,0.56857263,0.33570793,0.82262925,0.44291346,0.55881201,0.075026982,0.12453687,0.073028067,0.20698462,0.10123335,0.96790574,0.018931235,0.12249248,1.2141121,0.24537983,0.17369892,0.5866423,0.37489221,0.39005277,0.10247132,0.19504197,0.43900103,0.01596842,0.17283223,0.037366488,0.43489239,0.15616131,1.0343517,-1.0885236,0.50845219,0.69265847,-0.44419861,-0.98265695,0.84403826,0.68389618,-0.7741575,0.40517668,1.1505511,0.3251345,0.84585479,0.24580253,-0.1761908,0.46707999,0.073011602,0.11148574,-0.68953423,0.73502052,-0.044163552,0.21382237,0.75936681,0.84605709,1.0842414,1.0049007,0.73182026,0.54786401,-0.56492834,0.98025055,0.14262001,0.98360976,0.78660122,1.0969701,0.8480125,0.37381582,0.38228494,1.0385912,0.21508808,-0.70682755,-0.72256433,-0.62623088,0.2934186,-0.34024772,-0.6944056,0.54206463,-0.26331652,0.91917427,0.25390964,0.70112378,0.73469059,0.11460076,0.055551879,0.7003119,-0.46315342,0.12559614,-0.085289955,-0.079138304,0.28999141,-0.57632372,-0.81906603,-0.24846824,0.2858456,-0.20105106,0.65853083,-0.52000859,0.6483036,0.74222416,-0.50164337,0.15589953,0.50434315,0.72007715,-0.94690867,-0.72084945,0.24924965,0.70228687,-0.18841542,-0.738033,0.17711562,-0.18367852,1.1387389,0.15220235,0.20254696,-0.34984175,0.2919,0.59643966,0.03060075,0.13474817,-0.16834067,0.11966059,0.21597163,0.20153312,1.2054396,0.30169562,-0.35409768,-0.59574747,1.1709844,0.348037,-0.58679608,-0.3759231,0.9541686
-132.78361,0.99856381,0.063410456,6,63,0,161.69734,-0.15707699,-0.38247657,-0.57648993,0.04196834,0.74115754,0.64067266,0.16892454,1.0334243,0.30734645,0.7770718,0.96247113,0.023979324,1.0325278,0.022486166,0.45745871,0.17738148,0.045633191,0.92756205,0.65566664,0.70729889,0.044153597,0.68036829,0.023634757,0.89263169,0.088677459,0.73247392,0.21028502,0.3824842,0.23725281,0.18828228,0.088897331,0.15805447,0.44785712,0.8997873,1.1158802,0.010668358,0.083580593,0.43178711,0.075726204,0.17742766,0.24770193,0.61136937,0.64431241,1.0665648,0.89421499,0.5957446,0.023601347,0.13636949,0.10259912,0.15649698,0.11702958,1.0955726,-0.80503113,0.19284891,-0.24421168,-0.91244815,-0.58163977,0.87783422,-0.034096035,-1.2413403,-0.57859802,1.2413278,-0.20207399,0.029596126,-0.64500968,0.41751559,-0.030086956,-0.63468917,-0.72871076,-0.83785024,-0.075572671,0.40263046,0.67272229,0.10968512,0.97490116,0.57051939,1.2881071,-0.031186616,0.92399607,-0.98736623,0.30405682,0.41065035,0.47361639,0.44376411,0.64889558,0.58511644,0.3883671,-0.077285375,1.2041577,-0.53166637,-0.3841872,-0.66281433,0.17441202,-0.091470935,-1.0087053,0.34850528,-0.00053941921,0.35122994,0.44046443,0.037827526,0.91330833,0.45301344,-0.088319561,-0.019592518,0.48355374,-1.0531718,-0.26594981,-0.153077,0.31444494,-0.61904401,-0.54935881,-1.133649,-0.54044783,0.0048179267,-0.13576278,0.18724826,-0.19883671,0.6060864,0.6187167,-0.94251814,-0.16803673,-0.11997335,0.18724013,-0.079296741,-0.51436669,0.27146793,-0.49362882,-0.17637003,-1.0977199,0.47811106,-0.25298273,1.1381946,0.2609428,-0.16012129,0.47608571,-0.097795504,1.3146358,-0.29122052,-0.023798631,-0.34330044,-0.83624897,1.0848499,-0.51106077,1.2918926,-0.24830649,-0.052577125,-0.33630716,0.34341978,0.31007397,-0.98856999,-0.28393342,0.85357491
-120.9305,0.97404817,0.063410456,6,63,0,154.15983,0.68343539,0.13962543,0.58291837,1.3733338,0.60361541,0.55206415,0.03012137,0.37970793,0.32400958,0.097594844,0.49234669,0.49198513,0.50971051,0.35816364,0.22657024,0.17850636,0.56613635,0.52343643,0.33691084,0.3548406,0.89263392,0.088404122,2.543118,1.4621924,0.46436536,0.43690356,0.72104919,0.49283393,1.3721367,0.28349961,1.3955522,0.66129192,0.22322702,0.44900883,1.1002557,1.5693335,0.25252441,0.49194454,0.62796472,0.28025697,0.032028154,0.052899943,0.13429111,0.0265826,0.49524151,0.33109218,2.065293,0.92461846,0.3943813,0.41548531,1.9107989,1.1804367,-1.5726936,0.21148864,0.16359022,-0.026088099,-0.85498255,-0.022580128,0.64541772,-0.39388395,-0.059466537,1.5836258,-0.018264635,0.93007645,-1.1823511,0.69998958,-0.48660256,0.10347664,-0.24926639,-0.77421203,0.53158359,0.38392514,1.3241688,0.25472935,0.54689501,0.72121245,0.77234193,0.033691661,1.2446852,-0.22587284,0.81284347,0.49589048,0.50277976,-0.43408921,1.5768219,0.042905672,0.33179484,-0.84691709,0.069968223,0.55620311,-0.74624639,-1.0789312,0.64552283,-0.76642205,-2.1140579,-0.19453349,1.0470409,0.75633176,2.3022295,0.84812672,0.77757937,0.80621155,-0.49355969,-0.61234049,0.72745538,0.56388628,-0.31899695,-0.51235961,-0.60907645,-0.80746982,0.33024341,0.57057405,-1.4041185,-0.11695094,0.28481212,0.50029707,-0.32372758,-0.38042794,1.8315272,-0.083569132,-1.138205,1.2386802,1.0490472,-0.87433289,-1.3530931,0.16043758,0.32664022,0.18574582,-1.9553596,0.12315989,0.063636517,0.50505019,0.98943914,0.17277979,0.67026937,0.83904398,0.34269769,-0.88032666,-0.76779908,-0.69374637,-0.44248757,0.41166806,-0.66933074,0.80776948,0.44034683,-0.44513947,0.67393016,0.62779817,-0.39813005,1.013239,0.37076523,0.85583182
-123.79621,0.92807581,0.063410456,6,63,0,139.56569,-0.37812598,-1.073738,0.50381461,0.11309873,0.65166057,0.3239809,0.0096132265,0.47154875,0.58496643,0.17878427,1.007875,0.05611158,0.75901751,0.4504329,0.11554658,0.38571204,0.1078773,0.61103381,0.52524335,0.6858976,0.065105189,0.70615269,0.040227941,0.50118676,0.7932546,0.72294195,0.15575841,0.45069061,0.35124448,0.50537862,0.12882806,0.2483682,0.79880041,0.55199321,0.67719997,0.053615485,0.22901947,0.11542212,1.1376714,0.055537085,0.10004103,0.087662128,0.2751927,0.012407703,0.34580469,0.12909412,0.39844348,0.093812619,0.41972235,0.50245625,0.14425978,0.98097604,0.068389271,0.59656103,0.2041402,-0.96355559,-0.7472084,1.0185963,0.37017551,-1.0507541,-0.44737121,0.47531697,-0.13435715,-0.37032404,-0.79448414,0.36453722,-0.29905974,-0.26954133,-0.81926467,-0.51204188,-0.19870258,-0.74818101,0.16710915,0.49700423,0.1967091,0.72331358,0.8760384,0.31447266,0.90829051,0.012281961,0.56119359,0.57148187,0.61129971,0.58304477,0.95092576,0.32695133,0.47645312,0.35185055,0.32441612,-0.5177987,-0.33009623,0.091487528,-0.32295124,0.015349936,-0.9879596,0.2554729,0.12570652,0.18012811,0.45084578,0.030914219,0.66666239,0.59571707,-0.071924418,0.72480881,0.94557659,-0.39609252,0.433522,-0.24433103,-0.27040653,-0.13187946,-0.36617521,-0.8247415,-0.54989508,-0.4307811,-0.038760365,0.36279347,0.077873673,0.1578304,0.22222494,-0.65469519,-0.57627263,0.13993068,0.67814902,-0.37028738,-0.27288354,-0.051911812,0.2502452,-0.0082876275,-0.31768754,-0.23607111,-0.54909243,1.0226813,0.77622286,-0.23006271,-0.0019966666,0.31307189,0.42798702,-0.28000319,-0.68091189,0.052276704,-0.91494934,0.35335421,-0.27684124,1.2897382,-0.035737956,-0.42688942,-0.1529429,-0.19923322,-0.017207866,-0.21380158,-0.20752934,0.64270054
