,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-2636.18,0.191985,4.41969,4.40043,-2644.14,-2635.85,-2629.63,547.302,687.333,20.9493,1.00613
beta_0[1],-0.0084631,0.000955658,0.0371266,0.0368247,-0.0715588,-0.00851315,0.0521773,1514.34,1557.71,57.9652,1.00215
beta_0[2],-0.00925521,0.00114879,0.0370806,0.0377967,-0.0699913,-0.00961158,0.0514613,1064.99,1185.17,40.7652,1.00215
beta_0[3],-0.00383921,0.000984978,0.0407242,0.0409191,-0.069417,-0.00567783,0.0664415,1715.89,1302.94,65.6802,0.999789
beta_0[4],0.054021,0.00134101,0.0451989,0.0463809,-0.0152687,0.0514211,0.131486,1116.96,1583.32,42.7545,1.00039
"beta_off[1,1]",0.0109411,0.000178742,0.00844044,0.00804749,0.00103338,0.00907682,0.0269905,1453.66,708.64,55.6425,0.999366
"beta_off[1,2]",0.0107622,0.000183629,0.00736325,0.00769984,0.00108365,0.00949739,0.0245517,1144.49,785.041,43.8084,1.0042
"beta_off[1,3]",0.00929336,0.000170605,0.00767329,0.00696414,0.00067132,0.00757549,0.0241786,1433.36,891.859,54.8654,0.999916
"beta_off[2,1]",0.028295,0.000351147,0.0143061,0.0149233,0.00587985,0.0274618,0.0531117,1421.06,798.119,54.3946,1.00075
"beta_off[2,2]",0.0130696,0.000234011,0.0084791,0.00888293,0.00150959,0.0120136,0.0286601,1008.09,690.622,38.5871,1.00091
"beta_off[2,3]",0.0114863,0.000243012,0.00909327,0.00860992,0.000887615,0.0095376,0.0290471,989.576,818.252,37.8785,1.00023
"beta_off[3,1]",0.013022,0.000227118,0.0108436,0.00947264,0.000953068,0.0102012,0.03503,1295.67,745.181,49.5951,1.00151
"beta_off[3,2]",0.0156366,0.00026541,0.0110335,0.0116425,0.00126499,0.0139854,0.0369588,1271.37,863.558,48.665,1.00185
"beta_off[3,3]",0.00968806,0.000197727,0.00745537,0.00710401,0.00082892,0.00804141,0.0241741,921.119,675.724,35.2581,0.999602
"beta_off[4,1]",0.0148709,0.000286835,0.012671,0.0111259,0.000839024,0.0113816,0.0390529,1178.04,706.025,45.0923,1.00092
"beta_off[4,2]",0.00467741,9.23085e-05,0.00438729,0.00340916,0.000258481,0.00347781,0.0132689,1223.36,822.635,46.8272,1.00013
"beta_off[4,3]",0.0125146,0.000274016,0.00866368,0.00872849,0.00107082,0.0110373,0.0283742,771.583,576.286,29.5343,1.00199
"beta_def[1,1]",0.0126963,0.000260449,0.0108249,0.00932921,0.000779502,0.00950534,0.0342896,1056.15,542.093,40.4267,1.00123
"beta_def[1,2]",0.0150767,0.000267807,0.0126046,0.0108186,0.00107782,0.0118417,0.0405267,1478.81,933.458,56.6053,1.00215
"beta_def[1,3]",0.00977915,0.000161623,0.00805993,0.00728767,0.000853916,0.00779641,0.0261331,1601.32,1098.71,61.2946,1.00298
"beta_def[2,1]",0.0315905,0.000549398,0.0242916,0.0232115,0.00226685,0.0266247,0.0782952,1265.43,768.065,48.4373,1.00008
"beta_def[2,2]",0.0413553,0.000659637,0.0276717,0.027981,0.00436282,0.0369258,0.0924164,1266.91,693.721,48.4941,0.999584
"beta_def[2,3]",0.016415,0.000236145,0.0106891,0.0111803,0.00189844,0.0149387,0.0359802,1671.5,1176.6,63.9808,0.999429
"beta_def[3,1]",0.0156486,0.000278134,0.0129834,0.0117467,0.00119577,0.0120545,0.0407835,1436.39,708.99,54.9813,1.00058
"beta_def[3,2]",0.0101648,0.000209389,0.00905442,0.00791815,0.000530782,0.00773084,0.0289789,1075.73,745.726,41.1764,1.00094
"beta_def[3,3]",0.00629238,0.000117217,0.00578486,0.00489165,0.000307513,0.00464486,0.0180627,1453.66,789.004,55.6427,1.00087
"beta_def[4,1]",0.0790584,0.00129779,0.0387915,0.0398794,0.016698,0.0776879,0.143647,773.255,438.914,29.5983,1.0012
"beta_def[4,2]",0.063599,0.000857551,0.0350823,0.0367374,0.0116985,0.0609841,0.126678,1321.33,678.478,50.5773,1.00088
"beta_def[4,3]",0.00759675,0.000132215,0.00642156,0.00562936,0.00047596,0.00598188,0.0196815,1427.73,902.387,54.65,1.00182
sigma,1.00509,0.000235405,0.0101764,0.010167,0.989295,1.00509,1.02171,1877.09,1532.42,71.8504,0.999817
y_rep[1],-0.0816092,0.0223609,0.994051,0.974194,-1.67555,-0.074924,1.55828,1968.85,1863.72,75.3626,1.00033
y_rep[2],-0.00528887,0.0250615,0.992378,0.940844,-1.69132,0.0098664,1.70378,1557.98,1739.76,59.6357,1.0012
y_rep[3],-0.0556744,0.0229312,1.02083,1.01701,-1.7417,-0.0432474,1.6487,2014.54,1533.93,77.1115,1.00035
y_rep[4],0.0169203,0.0223298,1.01435,1.0343,-1.65776,0.0377093,1.67779,2072.98,1932.56,79.3485,1.0017
y_rep[5],0.0151618,0.0227572,1.01542,1.00116,-1.65397,-0.00750043,1.72171,2018.9,1933.74,77.2783,0.999715
y_rep[6],0.0644326,0.0239052,0.994794,1.0003,-1.61058,0.0579154,1.69413,1733.34,1755.37,66.3481,1.00061
y_rep[7],0.0634725,0.021893,0.988918,1.032,-1.50037,0.052451,1.67594,2046.77,2004.12,78.3453,0.999427
y_rep[8],-0.025021,0.0222814,0.987375,0.966656,-1.61584,-0.0177261,1.5992,1962.43,1925.56,75.1171,1.00038
y_rep[9],0.0387172,0.0226075,0.982039,0.979162,-1.52231,0.0133694,1.63686,1892.7,1982.45,72.448,0.999791
y_rep[10],-0.0259229,0.021295,1.01079,0.993348,-1.64678,-0.0358379,1.66026,2258.79,1965.22,86.461,0.999345
y_rep[11],0.0553236,0.0224622,1.02695,1.02874,-1.67647,0.072912,1.7085,2107.05,1952.34,80.6528,0.999934
y_rep[12],0.0574443,0.0244858,1.00208,1.01698,-1.58908,0.0443656,1.74642,1691.37,1669.01,64.7415,1.00152
y_rep[13],-0.020102,0.0223109,1.02504,0.997015,-1.72106,-0.0401181,1.66786,2107.14,1852.82,80.6561,1.00127
y_rep[14],0.0925002,0.0224947,0.99572,0.957974,-1.54914,0.0611193,1.74165,1958.39,1889.72,74.9622,0.999641
y_rep[15],-0.0495501,0.0212619,0.982788,1.0017,-1.64825,-0.0373393,1.55125,2130.88,1926.12,81.5647,1.00089
y_rep[16],-0.00619292,0.0222619,1.02357,1.03742,-1.66009,0.0106685,1.67881,2108.98,1884.23,80.7267,0.999371
y_rep[17],0.0108805,0.0207104,0.96997,0.957998,-1.54329,0.0202347,1.56078,2187.09,1724.77,83.7165,1.00027
y_rep[18],-0.0162713,0.0242459,1.00211,1.00495,-1.66305,-0.0160149,1.64338,1713.53,1796.35,65.5898,0.999433
y_rep[19],-0.0140496,0.022076,0.997072,0.989819,-1.67396,0.00861302,1.60028,2048.49,2076.73,78.4112,0.999536
y_rep[20],0.0350658,0.0246344,1.01304,1.01702,-1.61743,0.0289085,1.75219,1728.11,1815.36,66.1477,0.999478
y_rep[21],0.0453966,0.0217857,0.978866,0.97418,-1.5438,0.0327648,1.62083,2033.27,1666.63,77.8286,0.999099
y_rep[22],-0.0388798,0.0218401,1.01066,1.03699,-1.69943,-0.0321819,1.60683,2139.07,1764.26,81.8784,0.999252
y_rep[23],0.139225,0.0218871,1.01087,0.985808,-1.49888,0.119781,1.81205,2135.9,1822.0,81.7571,1.00205
y_rep[24],0.0634886,0.022997,0.996757,1.02538,-1.56828,0.0679406,1.73592,1886.02,1815.39,72.1921,1.00199
y_rep[25],0.0727948,0.0224848,0.984199,0.973272,-1.55713,0.061591,1.70849,1943.88,2007.96,74.407,1.00042
y_rep[26],0.0058235,0.0220981,0.999877,1.00531,-1.58536,0.00797888,1.59718,2050.31,1821.11,78.4809,1.00131
y_rep[27],-0.0113192,0.0241643,1.02013,1.00721,-1.67834,-0.0137737,1.6549,1793.69,1614.2,68.6578,1.0006
y_rep[28],-0.0399702,0.0236701,1.02345,1.03474,-1.71922,-0.0389119,1.65058,1870.98,1781.33,71.6165,1.0001
y_rep[29],0.00234662,0.0230997,1.02556,1.02061,-1.73601,0.00627793,1.60896,1979.34,1943.68,75.7643,1.00164
y_rep[30],0.056792,0.0226737,1.0369,1.03306,-1.68808,0.0723391,1.69182,2097.26,2007.74,80.2777,0.999571
y_rep[31],0.0293323,0.0220399,1.01205,1.00151,-1.64221,0.0132574,1.73573,2114.74,1866.83,80.947,0.999318
y_rep[32],-0.00518917,0.023094,1.01773,1.03052,-1.6623,0.0105939,1.67489,1972.41,1968.44,75.4989,1.00053
y_rep[33],-0.0166988,0.0234298,1.00731,1.0267,-1.60666,-0.0582509,1.723,1856.33,2029.92,71.0559,0.999363
y_rep[34],0.0582367,0.0221585,0.989447,1.02043,-1.44754,0.0371041,1.70095,1984.6,1964.26,75.9654,0.999836
y_rep[35],0.0392382,0.0218897,0.992938,1.00797,-1.63414,0.0325441,1.68565,2059.59,2031.8,78.836,1.00007
y_rep[36],-0.0242722,0.0239865,1.01874,1.00762,-1.70695,-0.0477803,1.67701,1820.83,1780.2,69.6968,1.00044
y_rep[37],0.024715,0.0230082,1.01461,1.02482,-1.63568,0.0295579,1.71121,1968.08,2005.11,75.3333,1.00038
y_rep[38],-0.00210441,0.0237289,1.01615,1.00099,-1.71516,-0.0353687,1.70773,1853.52,1899.89,70.9483,0.99987
y_rep[39],0.102822,0.0222576,1.01123,0.991991,-1.56467,0.0824481,1.77581,2061.71,2091.1,78.9172,1.0027
y_rep[40],0.0776956,0.0235835,1.02123,1.04282,-1.59634,0.0982738,1.76007,1894.09,1469.14,72.5012,1.00021
y_rep[41],0.0613754,0.0222461,1.00612,0.977604,-1.59572,0.0831984,1.6949,2047.3,1965.76,78.3654,1.00225
y_rep[42],-0.00113505,0.0242321,1.00513,1.02168,-1.60087,0.000587831,1.62133,1722.29,1910.79,65.9252,1.0011
y_rep[43],-0.0205963,0.0225088,1.01877,1.05207,-1.69152,-0.0175847,1.61438,2043.9,1849.2,78.2354,1.00055
y_rep[44],-0.00913025,0.0227698,1.01288,0.986619,-1.61244,-0.00487427,1.54639,1935.35,2049.49,74.0803,0.9995
