,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-762.756,,0.0,0.0,-762.756,-762.756,-762.756,,,,
beta_0[1],1.32353,,0.0,0.0,1.32353,1.32353,1.32353,,,,
beta_0[2],-1.68208,,2.34056e-16,0.0,-1.68208,-1.68208,-1.68208,,,,
beta_0[3],1.31239,,0.0,0.0,1.31239,1.31239,1.31239,,,,
beta_0[4],-1.37762,,0.0,0.0,-1.37762,-1.37762,-1.37762,,,,
beta_0[5],-0.705192,,0.0,0.0,-0.705192,-0.705192,-0.705192,,,,
beta_0[6],1.56134,,0.0,0.0,1.56134,1.56134,1.56134,,,,
beta_0[7],1.18378,,0.0,0.0,1.18378,1.18378,1.18378,,,,
beta_0[8],0.32525,,0.0,0.0,0.32525,0.32525,0.32525,,,,
beta_0[9],-0.410049,,0.0,0.0,-0.410049,-0.410049,-0.410049,,,,
beta_0[10],-1.23546,,0.0,0.0,-1.23546,-1.23546,-1.23546,,,,
beta_0[11],-1.80109,,2.34056e-16,0.0,-1.80109,-1.80109,-1.80109,,,,
beta_0[12],0.294155,,0.0,0.0,0.294155,0.294155,0.294155,,,,
beta_0[13],-0.935537,,0.0,0.0,-0.935537,-0.935537,-0.935537,,,,
beta_0[14],0.0916462,,0.0,0.0,0.0916462,0.0916462,0.0916462,,,,
beta_0[15],0.432209,,0.0,0.0,0.432209,0.432209,0.432209,,,,
beta_0[16],1.00035,,0.0,0.0,1.00035,1.00035,1.00035,,,,
beta_0[17],-1.46641,,0.0,0.0,-1.46641,-1.46641,-1.46641,,,,
beta_0[18],-0.843817,,1.17028e-16,0.0,-0.843817,-0.843817,-0.843817,,,,
beta_0[19],-1.88289,,0.0,0.0,-1.88289,-1.88289,-1.88289,,,,
beta_0[20],-0.831659,,0.0,0.0,-0.831659,-0.831659,-0.831659,,,,
beta_0[21],-0.849319,,0.0,0.0,-0.849319,-0.849319,-0.849319,,,,
beta_0[22],1.4524,,0.0,0.0,1.4524,1.4524,1.4524,,,,
beta_0[23],-0.717618,,0.0,0.0,-0.717618,-0.717618,-0.717618,,,,
beta_0[24],-1.31206,,0.0,0.0,-1.31206,-1.31206,-1.31206,,,,
beta_0[25],-0.229434,,0.0,0.0,-0.229434,-0.229434,-0.229434,,,,
beta_0[26],-1.9992,,0.0,0.0,-1.9992,-1.9992,-1.9992,,,,
beta_0[27],-0.178535,,0.0,0.0,-0.178535,-0.178535,-0.178535,,,,
beta_0[28],0.561866,,0.0,0.0,0.561866,0.561866,0.561866,,,,
