outcome,matchup_id,z_off_0,z_def_0,z_off_1,z_def_1,z_off_2,z_def_2,z_off_3,z_def_3,z_off_4,z_def_4,z_off_5,z_def_5,z_off_6,z_def_6,z_off_7,z_def_7
0,0_vs_0,0.0,0.0,-0.81,0.0,0.0,0.0,0.0,0.0,3.88,-1.11,-1.48,0.83,0.54,-2.63,-1.61,2.26
0,0_vs_0,0.0,0.0,-1.46,0.0,0.65,1.43,0.0,0.0,5.15,-0.61,0.0,0.0,0.0,0.08,-1.46,-0.4
0,0_vs_0,0.0,0.0,-1.08,0.0,-0.82,1.22,0.0,0.0,3.81,-2.99,0.0,0.0,0.0,0.0,-2.64,-0.84
7,0_vs_0,0.0,0.0,0.83,0.09,0.63,1.99,0.0,0.0,4.7299999999999995,-1.16,-0.43,0.0,0.0,0.0,0.0,1.89
14,0_vs_0,0.0,0.0,0.0,-0.09,-1.22,0.0,0.0,0.0,2.5199999999999996,0.62,0.0,0.0,0.6400000000000001,0.0,0.0,2.6
0,0_vs_0,0.0,0.0,-1.25,0.0,-1.3,0.0,0.0,0.0,3.56,-0.32999999999999996,0.0,0.0,0.0,0.44,-3.01,2.6
0,0_vs_0,0.0,0.0,0.0,0.19,0.92,0.0,0.0,0.0,2.07,0.0,0.0,1.52,0.0,0.0,0.52,0.0
0,0_vs_0,0.0,0.0,-1.52,0.14,-0.1,0.0,0.0,0.0,3.39,0.77,0.0,0.64,0.0,0.0,-1.9299999999999997,3.32
9,0_vs_0,0.0,0.0,0.0,0.0,0.0,3.54,0.0,0.0,0.0,-0.16,-1.1099999999999999,0.0,-0.7499999999999999,0.94,0.0,1.26
10,0_vs_0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,2.56,0.14,0.0,0.0,0.0,-0.54,0.47,0.78
0,0_vs_0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,7.539999999999999,-2.99,0.0,0.0,-0.47,0.0,-0.05999999999999983,-0.84
16,0_vs_0,0.0,0.0,-0.96,1.25,1.39,0.41,0.0,0.0,3.92,0.0,0.0,1.19,1.97,0.0,0.0,-0.82
0,0_vs_0,0.0,0.0,-1.83,0.0,1.64,0.0,0.0,0.0,2.37,0.45000000000000007,0.0,1.66,0.0,0.0,0.0,-0.09
