possession_id,outcome,offensive_supercluster,defensive_supercluster,matchup,z_off_0,z_off_1,z_off_2,z_def_0,z_def_1,z_def_2
22400963_272,-1.2204537877310233,0,0,"(0, 0)",-1.54,0.8,-4.38,3.54,-0.6,1.56
22400845_640,-1.247836381374685,0,0,"(0, 0)",-0.67,4.05,-1.48,1.41,0.21000000000000008,-0.48
22400526_270,-0.3492615367750626,0,0,"(0, 0)",4.21,0.0,-2.21,1.41,0.030000000000000027,-0.49
22401029_513,0.4838965580976739,0,0,"(0, 0)",0.0,1.08,-3.8,1.22,-1.79,-0.27
22401004_667,0.808829670513692,0,0,"(0, 0)",-0.1,1.2800000000000002,-3.53,-0.28,-0.94,-2.8200000000000003
22401142_81,-0.38811663424227405,0,0,"(0, 0)",6.79,-1.49,1.9,0.0,-0.53,-1.32
22400675_237,0.32428200948798075,0,0,"(0, 0)",0.65,3.21,-0.76,0.0,0.26999999999999996,-1.5099999999999998
22400652_557,1.708997883965447,0,0,"(0, 0)",-1.54,-1.7699999999999998,-1.24,1.36,-0.95,-0.08999999999999997
22400877_560,-0.5038875998162586,0,0,"(0, 0)",-0.19,2.11,-3.9200000000000004,0.0,-1.02,-0.5599999999999999
22400652_180,-0.8666357963071565,0,0,"(0, 0)",-0.67,2.5300000000000002,-2.2,1.36,-0.95,-0.08999999999999997
22400822_630,0.03101871432553625,0,0,"(0, 0)",3.2800000000000002,0.0,1.9,0.0,-0.53,-2.56
22401123_455,-0.8294535725835469,0,0,"(0, 0)",0.0,7.39,0.040000000000000036,0.0,0.45000000000000007,3.16
22400260_638,1.2038856200889263,0,0,"(0, 0)",-2.47,1.95,-0.13000000000000012,1.6600000000000001,-0.98,0.7399999999999999
22400021_548,-0.24656855984558496,0,0,"(0, 0)",0.0,8.46,-1.67,0.0,-0.9099999999999999,-1.22
22401159_560,-0.7538798916703624,0,0,"(0, 0)",1.64,0.0,-1.0899999999999999,1.43,1.0,1.92
22400687_87,-0.36807739668654216,0,0,"(0, 0)",0.5900000000000001,1.48,1.44,1.41,0.56,1.02
22400601_658,0.5032361566061175,0,0,"(0, 0)",0.0,3.43,-0.31000000000000005,0.31,-0.31,0.8400000000000001
22400254_188,0.11498069850399388,0,0,"(0, 0)",-0.75,0.73,-1.8599999999999999,0.0,-1.31,0.2200000000000002
22400500_505,-0.4431685868639329,0,0,"(0, 0)",0.0,2.19,-4.659999999999999,0.0,-0.6,2.44
22400789_178,1.026778521253794,0,0,"(0, 0)",1.19,1.0,-0.45999999999999996,0.0,-0.9199999999999999,1.77
22400243_148,0.1542136907479153,0,0,"(0, 0)",0.0,2.93,-4.029999999999999,0.31,-0.94,-3.8
22400999_307,1.9444593904800709,0,0,"(0, 0)",0.63,2.26,-0.22999999999999998,3.3899999999999997,0.18,1.6400000000000001
22400610_81,-1.3195939245709518,0,0,"(0, 0)",1.39,5.89,-0.96,0.0,-2.81,-2.59
22400480_131,0.5895760157618913,0,0,"(0, 0)",-1.68,2.83,-0.48,0.0,-1.31,-1.4999999999999998
22400654_435,0.6328372872353077,0,0,"(0, 0)",1.72,0.5,-0.73,0.0,-0.6999999999999998,-1.28
22400650_166,0.377796971642579,0,0,"(0, 0)",-0.15000000000000002,1.53,-0.16000000000000003,0.55,-0.44999999999999996,2.71
22400427_64,-0.6794155154825331,0,0,"(0, 0)",-1.05,3.84,-2.14,1.36,-0.95,0.9199999999999999
22400805_490,0.6614157662606748,0,0,"(0, 0)",-1.0,2.01,-1.76,2.4299999999999997,0.52,-0.07
22400874_590,1.9718326832244562,0,0,"(0, 0)",-0.1,3.39,-4.62,0.0,0.78,0.4700000000000001
22400481_245,-0.5547455232693763,0,0,"(0, 0)",-0.19,2.11,-2.02,1.14,-3.91,-1.6600000000000001
22400057_173,0.4246009225389301,0,0,"(0, 0)",1.9300000000000002,-0.01,-0.6900000000000001,0.77,-2.88,-0.47000000000000003
22400706_117,0.394529725360829,0,0,"(0, 0)",-2.05,0.67,-1.47,1.31,-0.62,-2.15
22400239_293,-0.13182813810564448,0,0,"(0, 0)",-2.07,0.17,-0.63,1.5,-1.25,0.45000000000000007
22400376_99,0.4302610432672057,0,0,"(0, 0)",0.92,2.49,-0.10999999999999999,1.99,-1.28,-0.61
22400320_348,-0.9606346216927761,0,0,"(0, 0)",2.1,3.25,-1.92,0.99,-1.05,-1.47
22400319_648,-1.2055785066990616,0,0,"(0, 0)",0.0,4.390000000000001,-2.86,1.22,-0.66,-0.51
22400418_709,0.44969599353469525,0,0,"(0, 0)",0.0,3.87,-0.86,1.21,-0.66,-1.41
22401197_598,1.0006864337083061,0,0,"(0, 0)",0.0,-1.3599999999999999,-0.6100000000000001,-0.43,-1.36,-1.07
22400866_170,0.028574517544004165,0,0,"(0, 0)",-0.43,9.66,-1.13,1.31,-0.63,-1.0899999999999999
22400812_34,0.19178292063753924,0,0,"(0, 0)",1.65,4.05,-0.7599999999999999,0.0,-0.74,-0.26000000000000006
22400030_263,1.062577044139776,0,0,"(0, 0)",-1.05,3.11,1.11,-0.87,-3.16,0.53
22400516_594,-0.489236658957057,0,0,"(0, 0)",4.21,0.0,-2.21,2.13,0.21000000000000002,-1.1800000000000002
22400239_87,1.053888198197766,0,0,"(0, 0)",-1.05,2.88,-2.48,1.98,-1.48,0.7699999999999999
22400013_615,0.5540572783329241,0,0,"(0, 0)",-1.22,0.93,-4.14,2.12,-0.62,-0.7100000000000001
22400330_503,-0.7994743035172198,0,0,"(0, 0)",-2.18,4.28,1.0999999999999999,0.0,-2.41,1.3399999999999999
22400252_22,1.0835003975435804,0,0,"(0, 0)",-1.93,0.0,-1.76,3.1100000000000003,-0.29,-0.62
22401142_302,-0.17521289647652208,0,0,"(0, 0)",-0.12,3.25,-1.3399999999999999,1.31,-1.08,-0.03
22401220_120,1.7203628159914306,0,0,"(0, 0)",0.21,0.4600000000000002,0.010000000000000009,1.99,-0.16,-1.9500000000000002
22400454_76,0.08157802966056615,0,0,"(0, 0)",1.39,5.89,-0.96,3.1100000000000003,-0.73,1.35
22401227_359,-0.8467608095209439,0,0,"(0, 0)",-2.21,-0.34,-1.7600000000000002,0.44,-0.44999999999999996,-0.67
22401049_418,-0.9741671935216163,0,0,"(0, 0)",0.91,3.61,-2.04,0.49,0.45000000000000007,0.37
22401038_10,-1.3582049055610035,0,0,"(0, 0)",-1.54,2.5300000000000002,-2.35,1.43,-0.3400000000000001,1.59
22400096_58,-0.6489109311217495,0,0,"(0, 0)",0.92,3.87,0.13,1.99,-1.5,-0.26
22400970_27,-0.14704995030413306,0,0,"(0, 0)",-1.22,1.59,-1.33,0.49,0.45000000000000007,-0.09
22400148_396,0.35949691794988686,0,0,"(0, 0)",6.79,0.0,0.18999999999999995,1.45,-2.38,-1.79
22401144_452,0.8686225857581291,0,0,"(0, 0)",-2.47,1.4,-1.72,0.41,-1.11,1.11
22400891_492,-1.1041257856401427,0,0,"(0, 0)",0.0,1.0,-2.69,2.48,-0.31999999999999995,0.0
22400036_472,0.20449725061380508,0,0,"(0, 0)",0.01,3.56,-1.88,1.03,-0.95,-0.039999999999999994
22400812_336,0.04191413066156247,0,0,"(0, 0)",0.0,-0.55,-0.13,1.03,0.040000000000000036,3.12
22400839_119,-0.648545059567717,0,0,"(0, 0)",0.0,-2.4,-1.7300000000000002,1.04,-2.1799999999999997,0.5299999999999999
22400319_251,0.6664718659613565,0,0,"(0, 0)",-0.18,1.95,0.42999999999999994,0.0,-1.06,4.57
22400602_21,1.2687664230336404,0,0,"(0, 0)",2.09,4.7,1.52,0.67,-0.1200000000000001,0.16
22400854_572,-1.2725187227595192,0,0,"(0, 0)",-2.0500000000000003,0.9299999999999999,-0.06,0.0,-0.53,-1.3699999999999999
22400041_121,-0.5978744027079527,0,0,"(0, 0)",2.26,5.15,0.51,0.67,-1.25,-0.6699999999999999
22400755_370,-1.2695910721670336,0,0,"(0, 0)",0.0,1.7200000000000002,-2.14,3.1100000000000003,-0.62,-0.66
22400760_204,0.5096934434146827,0,0,"(0, 0)",0.01,3.56,-2.5300000000000002,1.03,0.52,2.8600000000000003
22401149_529,-0.9156895011051003,0,0,"(0, 0)",0.0,-0.03999999999999959,-2.45,0.67,-1.98,-2.74
22400930_213,-0.27148562739818466,0,0,"(0, 0)",-1.82,0.77,-1.35,2.06,-0.1200000000000001,-0.97
22400303_639,0.32103050775419834,0,0,"(0, 0)",0.0,3.76,-0.2599999999999999,0.0,-3.41,-0.51
22400287_252,0.23968284156720762,0,0,"(0, 0)",2.26,5.15,-1.6300000000000001,1.5,-1.25,-1.06
22400118_590,-0.5937803001454256,0,0,"(0, 0)",-3.87,2.18,-1.1600000000000001,1.99,-1.12,-0.42
22400709_507,1.0744502731273864,0,0,"(0, 0)",-2.07,1.0,-0.63,1.89,-3.46,-0.01
22401074_406,0.005526409073726478,0,0,"(0, 0)",0.0,2.5300000000000002,-3.9400000000000004,0.41,-1.9300000000000002,1.29
22400505_643,1.2975563983399157,0,0,"(0, 0)",-0.82,4.25,-0.33,-0.56,-0.55,0.0
22401065_450,1.9594071080549322,0,0,"(0, 0)",0.63,1.53,-0.7799999999999999,1.14,-2.38,-2.5300000000000002
22400829_356,-0.9757691457582938,0,0,"(0, 0)",0.0,7.39,-1.1500000000000001,0.0,-2.1,-0.27
22401136_37,-0.2364289103489099,0,0,"(0, 0)",0.91,2.88,-1.05,0.0,-2.4699999999999998,-3.3000000000000003
22400107_661,-0.3920824638296257,0,0,"(0, 0)",-0.38,0.12000000000000001,-3.09,1.31,-1.25,-0.03
22400709_420,-0.39966381375255666,0,0,"(0, 0)",-1.28,-0.57,-1.71,1.89,-3.46,-0.01
22400833_658,0.8097263113881735,0,0,"(0, 0)",1.72,1.58,-2.44,0.41,-0.92,-2.8
22400971_84,-0.1971254331871311,0,0,"(0, 0)",-0.19,1.5999999999999999,-2.37,0.31,1.24,0.40000000000000013
22401202_173,-0.356025958083151,0,0,"(0, 0)",0.15999999999999992,0.0,0.7799999999999999,0.67,1.13,-0.5099999999999999
22400919_217,-0.8616578774396763,0,0,"(0, 0)",0.06999999999999984,0.0,0.6000000000000001,2.4299999999999997,-1.71,-0.45
22400824_53,0.9586696377055529,0,0,"(0, 0)",-0.28,0.5700000000000001,-4.18,0.99,0.0,-0.87
22400152_27,0.4945455690812364,0,0,"(0, 0)",-1.05,3.11,-1.3,-0.5,0.13,-0.73
22401036_120,-1.3792476851116022,0,0,"(0, 0)",0.0,4.84,2.5599999999999996,0.0,1.91,2.6399999999999997
22400132_66,-1.95478273857961,0,0,"(0, 0)",-1.4,2.5300000000000002,-3.0999999999999996,1.93,0.41000000000000003,0.48
22400519_39,-0.7154466051676441,0,0,"(0, 0)",-0.67,-1.03,-3.3500000000000005,3.54,-0.6,1.56
22401020_273,0.5975696492533147,0,0,"(0, 0)",0.06,-1.54,-3.44,0.0,-0.44999999999999996,-0.15999999999999998
22400407_129,-1.541232211581506,0,0,"(0, 0)",1.19,-2.9,-2.19,1.73,-0.44999999999999996,1.77
22400915_339,-0.7549167815022317,0,0,"(0, 0)",-0.28,0.5700000000000001,-2.5300000000000002,-0.54,-2.75,-0.25
22400743_323,1.1902994692769213,0,0,"(0, 0)",-0.67,0.8,-2.85,2.13,-2.56,-0.9800000000000001
22400865_648,-0.29715425458464717,0,0,"(0, 0)",4.2,3.56,-2.5,0.0,-1.1800000000000002,-1.75
22400921_200,-0.2812463719466502,0,0,"(0, 0)",-1.4,3.12,0.98,0.0,-1.28,-1.25
22400327_551,1.7209713523206738,0,0,"(0, 0)",-1.74,0.0,-4.75,0.79,0.71,0.41999999999999993
22400937_294,0.653268262869707,0,0,"(0, 0)",0.0,2.03,-0.30000000000000004,0.0,-1.1800000000000002,-1.0
22401096_593,0.7005121290612695,0,0,"(0, 0)",0.63,2.26,0.32,1.43,-0.1200000000000001,1.2400000000000002
22400112_366,1.8647290689309206,0,0,"(0, 0)",0.0,3.93,-0.85,0.33,-2.13,0.06999999999999995
22401202_265,-0.4668229498529949,0,0,"(0, 0)",-1.05,3.11,1.11,0.44,-0.44999999999999996,0.41999999999999993
22400528_560,1.935055677454314,0,0,"(0, 0)",-0.43,7.39,-0.29999999999999993,0.41,-1.9300000000000002,-0.02
22400190_495,-0.9848793793617299,0,0,"(0, 0)",0.25,7.8999999999999995,-1.31,1.89,-3.46,-0.5
22400694_146,-1.8517270359803342,0,0,"(0, 0)",-2.07,1.15,0.0,1.89,-2.01,-0.51
22400671_95,1.5687482161815833,0,0,"(0, 0)",-0.9,0.66,-0.22000000000000003,3.0,0.53,1.63
22400648_609,-1.1522543595069175,0,0,"(0, 0)",1.39,5.89,-1.76,0.77,-1.09,2.0199999999999996
22400802_574,-0.4349822336324105,0,0,"(0, 0)",-2.6500000000000004,1.95,-2.2800000000000002,-0.43,-2.17,-1.49
22400871_427,-0.2690956371472786,0,0,"(0, 0)",-0.9,2.02,-0.15,0.0,1.4100000000000001,2.96
22400829_288,0.30361944100258736,0,0,"(0, 0)",0.0,-1.7699999999999998,-3.99,0.0,-0.44999999999999996,-0.15999999999999998
22400975_557,0.8011745258917264,0,0,"(0, 0)",0.0,-1.8599999999999999,-4.38,1.21,0.03,-0.08000000000000007
22400073_72,-1.4393605590911918,0,0,"(0, 0)",-0.43,8.61,-0.54,0.43,-1.32,-3.25
22400094_346,1.274862343943018,0,0,"(0, 0)",0.73,2.26,-0.69,1.7,1.13,-1.49
22401214_391,-1.7835899042431103,0,0,"(0, 0)",-2.18,4.17,1.46,1.14,-2.38,-4.63
22400191_45,0.09283477009655211,0,0,"(0, 0)",0.21,-1.14,0.5200000000000001,0.43,-2.81,-1.49
22401034_176,-1.1732063152351322,0,0,"(0, 0)",0.0,0.26,-3.3899999999999997,0.0,0.88,0.040000000000000036
22400793_40,-1.6644652571193685,0,0,"(0, 0)",-0.1,6.04,-2.54,2.1,-1.23,1.94
22400085_461,0.6123116577223642,0,0,"(0, 0)",-0.26,5.89,-1.49,2.96,-1.43,-0.76
22401061_607,-1.3430923610486056,0,0,"(0, 0)",-0.28,-2.29,-5.21,1.02,-0.45,1.24
22400319_426,-3.1383704329014437,0,0,"(0, 0)",0.0,4.390000000000001,-4.82,1.22,-0.74,0.52
